SRC	REF	WRONG-REF
He appeared as such by his work in three volumes, published in 1835 with the title: Observations sur le projet de révision du Code pénal. [[SEP]] This work could not miss drawing the attention to its author.	Diese Arbeit musste dafür sorgen, dass die Aufmerksamkeit auf den Autor gezogen wurde.	Diese Arbeit musste dafür sorgen, dass die Aufmerksamkeit auf die Autorin gezogen wurde.
He is the recipient of many academic honours (see below). [[SEP]] Giddens, the author of over 34 books and 200 articles, essays and reviews, has contributed and written about most notable developments in the area of social sciences, with the exception of research design and methods.	Giddens, der Autor von über 34 Büchern und 200 Artikeln, Aufsätzen und Rezensionen und hat über die wichtigsten Entwicklungen in den Bereichen der Sozialwissenschaften geschrieben, mit der Ausnahme von Forschungsdesign und Methoden.	Giddens, die Autorin von über 34 Büchern und 200 Artikeln, Aufsätzen und Rezensionen und hat über die wichtigsten Entwicklungen in den Bereichen der Sozialwissenschaften geschrieben, mit der Ausnahme von Forschungsdesign und Methoden.
CP Leblond was born in Lille, France, in 1910, the son of a building contractor who died when Leblond was only 10 years old, leaving his mother to raise four boys on her own. [[SEP]] A brilliant student, Leblond debated becoming a film producer, an architect or a scientist.	Leblond war ein hervorragender Schüler und überlegte, Filmproduzent, Architekt oder Wissenschaftler zu werden.	Leblond war eine hervorragende Schülerin und überlegte, Filmproduzentin, Architektin oder Wissenschaftlerin zu werden.
He quickly discerned the genius of George Eliot, forthwith accepting and publishing in his magazine the first instalment of her earliest fiction the 'Scenes of Clerical Life,' which had been sent to him without the name of the author, for whom thus early he predicted a great career as a novelist. [[SEP]] This commencement of a business connection was soon followed by a personal acquaintance between author and publisher, which ripened into intimacy.	Die geschäftliche Verbindung entwickelte sich bald zu einer persönlichen Bekanntschaft zwischen Autor und Verleger, die dann zur Vertrautheit wurde.	Die geschäftliche Verbindung entwickelte sich bald zu einer persönlichen Bekanntschaft zwischen Autor und Verlegerin, die dann zur Vertrautheit wurde.
He appeared in stage productions throughout college and continued on stage long after his tour of duty in Vietnam. [[SEP]] Savini served as a combat photographer during the Vietnam War.	Savini diente während des Vietnam Kriegs als Kriegsfotograf.	Savini diente während des Vietnam Kriegs als Kriegsfotografin.
The artist currently lives and works in the outskirts of Cali, where he devotes his time both to the exploration of painting and artistic materials and techniques. [[SEP]] The artist's online magazine has been discontinued as of 2007.	Das Online-Magazin des Künstlers wurde 2007 eingestellt.	Das Online-Magazin der Künstlerin wurde 2007 eingestellt.
Motl is described as having a natural talent for drawing cartoons – sometimes getting into trouble with people feeling insulted by his depiction of them. [[SEP]] Some episodes indicate that the author intended to have the character enter a journalistic career.	Einige Folgen deuten daraufhin, dass der Autor die Absicht hat, die Figur eine Karriere als Journalist verfolgen zu lassen.	Einige Folgen deuten daraufhin, dass die Autorin die Absicht hat, die Figur eine Karriere als Journalist verfolgen zu lassen.
“Dictators are stupid,” he noted, “They won’t necessarily read between the lines.” [[SEP]] As a young artist in Baghdad in the 1980s, Alfraji worked as an animator for children's television.	Als junger Künstler in den 1980er Jahren in Baghdad arbeitete Alfraji als Animateur im Kinderfernsehen.	Als junge Künstlerin in den 1980er Jahren in Baghdad arbeitete Alfraji als Animateurin im Kinderfernsehen.
However he often spent long periods at the Château de Saché, near Tours, the home of his friend Jean de Margonne, his mother's lover and father to her youngest child. [[SEP]] Today the chateau is a museum dedicated to the author's life.	Heute ist das Schloss ein Museum das dem Leben des Autors gewidmet ist.	Heute ist das Schloss ein Museum das dem Leben der Autorin gewidmet ist.
A precocious youngster, he was admitted to the Pharmacy School at the University of Buenos Aires at 14 years of age and subsequently to the Medical School of the same university from 1904 to 1910, beginning when he was only 17 years old. [[SEP]] While a third year medical student, Houssay took up a post as a research and teaching assistant in the Chair of Physiology.	Während seines Medizinstudiums nahm Houssey im dritten Jahr eine Stelle als Assistent für Forschung und Lehre am Lehrstuhl der Physiologie an.	Während ihres Medizinstudiums nahm Houssey im dritten Jahr eine Stelle als Assistentin für Forschung und Lehre am Lehrstuhl der Physiologie an.
