SRC	REF	WRONG-REF
He continued to gain recognition as an applied artist due to his success at the Paris International Exhibit of the Decorative Arts in 1925. [[SEP]] After these wins, Brodovitch's career as an applied artist took off.	Después de estas victorias, la carrera de Brodovitch como artista aplicado despegó.	Después de estas victorias, la carrera de Brodovitch como artista aplicada despegó.
There isn't any record of Mr. Hewes ever relinquishing his Quaker membership nor is there any evidence that he was disowned by any Friends Monthly Meeting. [[SEP]] At the beginning of the year 1776, Hewes was appointed as the new Secretary of the Naval Affairs Committee.	A principios de 1776, Hewes fue nombrado el nuevo secretario del Comité de Asuntos Navales.	A principios de 1776, Hewes fue nombrada la nueva secretaria del Comité de Asuntos Navales.
It is added that he then retired to Virginia, but this is not known for sure, and he may have remained in Virginia, dying there at some unknown date. [[SEP]] Poyntz was the author of the following pamphlets:	Poyntz fue el autor de los siguientes panfletos:	Poyntz fue la autora de los siguientes panfletos:
Hemingway shows, through Jake's actions, his disapproval of the people who did not pay up. [[SEP]] As such, the author created an American hero who is impotent and powerless.	Por lo tanto, el autor creó un héroe impotente y sin poderes.	Por lo tanto, la autora creó un héroe impotente y sin poderes.
At Eton he developed an interest in ornithology, guided by science master W. [[SEP]] Piggy was a genius as a teacher ...	Piggy era un genio como profesor...	Piggy era un genio como profesora...
Lecocq enjoyed an early success in 1856, when he and Georges Bizet shared the first prize in a competition for composers of comic opera, organised by Jacques Offenbach. [[SEP]] Lacking the connections to secure commissions from Parisian theatres, Lecocq spent the next decade in obscurity and routine work as a teacher, accompanist and répétiteur.	Sin las conexiones para conseguir contratos en teatros parisinos, Lecocq pasó la siguiente década en la oscuridad y la rutina de un trabajo como profesor, acompañante y répétiteur.	Sin las conexiones para conseguir contratos en teatros parisinos, Lecocq pasó la siguiente década en la oscuridad y la rutina de un trabajo como profesora, acompañante y répétitrice.
Startide Rising is a 1983 science fiction novel by American writer David Brin, the second book of six set in his Uplift Universe (preceded by Sundiver and followed by The Uplift War). [[SEP]] It was revised by the author in 1993 to correct errors and omissions from the original edition.	Fue revisado por el autor en 1993 para corregir errores y omisiones en la edición original.	Fue revisado por la autora en 1993 para corregir errores y omisiones en la edición original.
He sat down, took a couple of rolls, and he had it. [[SEP]] The original concept was to paint the picture from edge to edge, with no bleeding, title or artist credit – a concept that went against music industry practice and was immediately vetoed by EMI.	El concepto original era pintar la imagen de orilla a orilla, sin sangría, título o crédito del artista; un concepto que iba en contra de las prácticas de la industria musical y fue vetado inmediatamente por EMI.	El concepto original era pintar la imagen de orilla a orilla, sin sangría, título o crédito de la artista; un concepto que iba en contra de las prácticas de la industria musical y fue vetado inmediatamente por EMI.
I throw away most of what I write, he said in a 2006 interview. [[SEP]] I feel a lot of guilt about the freedom that being an artist provides.	Siento una gran culpa por la libertad que ofrece ser un artista.	Siento una gran culpa por la libertad que ofrece ser una artista.
Welles' main objection to the generally accepted translations of Nostradamus' quatrains (so called because Nostradamus organized all his works into a series of four lined prose, which were then collected into centuries, or groups of 100 such works) relates in part to the translation efforts. [[SEP]] While many skilled linguists have worked on the problem of translating the works of Nostradamus, all have struggled with the format the author used.	A pesar de que muchos hábiles lingüistas han trabajado en el problema de traducir la obra de Nostradamus, todos han batallado con el formato que el autor usó.	A pesar de que muchos hábiles lingüistas han trabajado en el problema de traducir la obra de Nostradamus, todos han batallado con el formato que la autora usó.
[[SEP]] According to one student, Medvedev was a popular teacher; strict but not harsh.	Según un estudiante, Medvedev era un profesor popular, estricto pero no severo.	Según un estudiante, Medvedev era una profesora popular, estricta pero no severa.
Similarly, he has found that people look to external behavior in evaluating biases in others, but engage in introspection when evaluating their own. [[SEP]] Gilovich was an early author in the clustering illusion, which is closely related to the hot hand fallacy, and is the tendency to see clusters of data in a random sequence of data as nonrandom.	Gilovich fue un autor precoz de la ilusión de series, que se relaciona estrechamente con la falacia de la mano caliente, y explica la tendencia a ver series de datos en una secuencia de datos aleatoria como no aleatorias.	Gilovich fue una autora precoz de la ilusión de series, que se relaciona estrechamente con la falacia de la mano caliente, y explica la tendencia a ver series de datos en una secuencia de datos aleatoria como no aleatorias.
His work was originally designed for the gate of Saint Peter's Basilica in Rome. [[SEP]] The first design was ready in 1970 but, due to a series of historical events it was only inaugurated in 1983 in the presence of the artist, who was by then seriously ill.	El primer diseño estaba listo en 1970 pero, debido a eventos históricos, no fue inaugurado hasta 1983 en presencia del artista, quien para entonces ya estaba muy enfermo.	El primer diseño estaba listo en 1970 pero, debido a eventos históricos, no fue inaugurado hasta 1983 en presencia de la artista, quien para entonces ya estaba muy enferma.
“Dictators are stupid,” he noted, “They won’t necessarily read between the lines.” [[SEP]] As a young artist in Baghdad in the 1980s, Alfraji worked as an animator for children's television.	Como artista joven en Bagdad en 1980, Alfraji trabajó como animador para la televisión infantil.	Como artista joven en Bagdad en 1980, Alfraji trabajó como animadora para la televisión infantil.
Under the clouds from the gas chambers, as he put it in his seminal work on Juan Gris. [[SEP]] Kahnweiler was very prolific as an author, but never produced a full autobiography.	Kahnweiler fue muy prolífico como autor, pero nunca produjo una autobiografía completa.	Kahnweiler fue muy prolífica como autora, pero nunca produjo una autobiografía completa.
He is also a member of the group Dilated Peoples, as well as being one-half of Step Brothers with The Alchemist. [[SEP]] Before creating music, Perretta was a graffiti artist.	Antes de hacer música, Perretta fue un artista de grafitis.	Antes de hacer música, Perretta fue una artista de grafitis.
In the 1950s, Mazniashvili's son, a World War II veteran of the Soviet army, submitted a request for a political rehabilitation of his father, but this was turned down by the authorities. [[SEP]] Maznashvili is the author of the popular Soldier’s Memoirs.	Maznashvili es el autor de las populares Memorias del soldado.	Maznashvili es la autora de las populares Memorias del soldado.
By 1748 his novel Clarissa was published in full: two volumes appeared in November 1747, two in April 1748, and three in December 1748. [[SEP]] Unlike the novel, the author was not faring well at this time.	A diferencia de la novela, el autor no se estaba despidiendo en ese momento.	A diferencia de la novela, la autora no se estaba despidiendo en ese momento.
In clinical psychological practice in the United States, duty to warn requires a clinician who has reasonable grounds to believe that a client may be in imminent danger of harming himself or others to warn the possible victims. [[SEP]] Duty to warn is among the few exceptions to a client's right to confidentiality and the therapist's ethical obligation to maintain confidential information related in the context of the therapeutic relationship.	El deber de advertir es una de las pocas excepciones al derecho de confidencialidad de un cliente y la obligación ética del terapeuta es mantener confidencial la información relacionada en contexto de la relación terapéutica.	El deber de advertir es una de las pocas excepciones al derecho de confidencialidad de una clienta y la obligación ética del terapeuta es mantener confidencial la información relacionada en contexto de la relación terapéutica.
Because Kravitz was not wearing underpants, his genitals were briefly exposed to the audience. [[SEP]] As a designer, Kravitz launched a furniture collection in partnership with CB2 in 2015.	Como diseñador, Kravitz lanzó una colección de muebles en colaboración con CB2 en 2015.	Como diseñadora, Kravitz lanzó una colección de muebles en colaboración con CB2 en 2015.
Durrio tried to help his poverty-stricken friend in Tahiti by promoting his oeuvre in Paris. [[SEP]] The 1906 exhibition of Gauguin's work left Picasso more than ever in this artist's thrall.	La exposición de las obras de Gauguin de 1906 hizo que este artista cautivara a Picasso más que nunca.	La exposición de las obras de Gauguin de 1906 hizo que esta artista cautivara a Picasso más que nunca.
In his Reflection series, produced between 1988 and 1990, Lichtenstein reused his own motifs from previous works. [[SEP]] Interiors (1991–1992) is a series of works depicting banal domestic environments inspired by furniture ads the artist found in telephone books or on billboards.	Interiors (1991-1992) es una serie de obras que representan entornos domésticos banales inspirados por anuncios de mobiliario que el artista encontró en guías telefónicas o vallas publicitarias.	Interiors (1991-1992) es una serie de obras que representan entornos domésticos banales inspirados por anuncios de mobiliario que la artista encontró en guías telefónicas o vallas publicitarias.
In the late 1980s and early 1990s, he turned from programming and application books to imaging technology, writing some of the very first books devoted to scanners (The Complete Scanner Handbook, Dow-Jones Irwin, 1990) and digital Photography (Digital Photography, MIS Press, 1995.) [[SEP]] While working full-time as an author, Busch continued to write articles and monthly columns for magazines such HomePC, Macworld, Internet World, NetGuide, Windows Magazine, Windows Sources, and many other publications.	Mientras trabajaba a tiempo completo como autor, Busch continuó escribiendo artículos y columnas mensuales para revistas como HomePc, MacWorld, Internet World, NetGuide, Windows Magazine, Windows Sources y muchas otras publicaciones.	Mientras trabajaba a tiempo completo como autora, Busch continuó escribiendo artículos y columnas mensuales para revistas como HomePc, MacWorld, Internet World, NetGuide, Windows Magazine, Windows Sources y muchas otras publicaciones.
He successfully managed the Conservative Party's 1983 election campaign, and was rewarded with an appointment as Secretary of State for Trade and Industry, but was forced to resign after revelations that his former secretary, Sara Keays, was pregnant with his child, whom she later bore and named Flora Keays. [[SEP]] Parkinson subsequently served as Secretary of State for Energy, and later Secretary of State for Transport.	Posteriormente, Parkinson fue secretario de Estado de Energía, y después, secretario de Estado de Transporte.	Posteriormente, Parkinson fue secretaria de Estado de Energía, y después, secretaria de Estado de Transporte.
Born in East Centreville, New Brunswick he served overseas in the Canadian Army during the Second World War. [[SEP]] A teacher at the age of sixteen, Cogswell gained a BA(Hons) and MA at the University of New Brunswick and received a PhD from Edinburgh University.	Cogswell, profesor a los dieciséis, se licenció (con honores) e hizo un máster en la Universidad de New Brunswick y se doctoró en la Universidad de Edimburgo.	Cogswell, profesora a los dieciséis, se licenció (con honores) e hizo un máster en la Universidad de New Brunswick y se doctoró en la Universidad de Edimburgo.
Partha Mitter describes him as the only Indian painter before the 1940s who made use of the language and syntax of Cubism in his painting. [[SEP]] From 1925 onwards, the artist developed a complex post-cubist style.	A partir de 1925 el artista desarrolló un complejo estilo poscubista.	A partir de 1925 la artista desarrolló un complejo estilo poscubista.
Paul intervenes and overpowers him, but he wriggles free. [[SEP]] The librarian is then run over by a car in front of the library and apparently killed.	El bibliotecario es luego atropellado por un auto enfrente de la biblioteca y al parecer murió.	La bibliotecaria es luego atropellada por un auto enfrente de la biblioteca y al parecer murió.
