SRC	REF	WRONG-REF
Lecocq enjoyed an early success in 1856, when he and Georges Bizet shared the first prize in a competition for composers of comic opera, organised by Jacques Offenbach. [[SEP]] Lacking the connections to secure commissions from Parisian theatres, Lecocq spent the next decade in obscurity and routine work as a teacher, accompanist and répétiteur.	Sans les connexions pour sécuriser des commissions de la part des théâtres parisiens, Lecocq passa la décennie suivante dans l'ombre, et travailla en tant qu'enseignant, accompagnateur, et répétiteur.	Sans les connexions pour sécuriser des commissions de la part des théâtres parisiens, Lecocq passa la décennie suivante dans l'ombre, et travailla en tant qu'enseignante, accompagnatrice, et répétitrice.
In 1866 he became an instructor in palaeontology at the University of Munich and at the same time taught Princess Theresa and Prince Arnulf of Bavaria. [[SEP]] Although an excellent teacher, and especially competent in practical work, Waagen, who was a most loyal Catholic, had little prospect of obtaining a professorship at the University of Munich.	Bien qu'il fut un excellent enseignant, en particulier pour ce qui est de l'application pratique, Waagen, un très loyal catholique, avait peu de chances d'obtenir un poste de professeur à l'université de Munich.	Bien qu'elle fut une excellente enseignante, en particulier pour ce qui est de l'application pratique, Waagen, une très loyale catholique, avait peu de chances d'obtenir un poste de professeure à l'université de Munich.
He is currently a visiting professor at King's College London where he works with the Policy Institute at King's, a visiting professor at the Cass Business School, a board member of the Institute for Fiscal Studies and a visiting fellow at Nuffield College, Oxford. [[SEP]] Willetts is the author of several books on conservatism, including Why Vote Conservative (1996) and Modern Conservatism (1992), as well as numerous articles.	Willetts est l'auteur de plusieurs livres au sujet du conservatisme, y compris "Pourquoi Voter Conservateur" (1966) et "Conservatisme moderne" (1992), ainsi que d'un grand nombre d'articles.	Willetts est l'auteure de plusieurs livres au sujet du conservatisme, y compris "Pourquoi Voter Conservateur" (1966) et "Conservatisme Moderne" (1992), ainsi que d'un grand nombre d'articles.
In 1993 Jungnickel joined Augsburg University where he occupies the chair for discrete mathematics, optimisation, and operations research. [[SEP]] A reviewer notes that The author does a beautiful job showing and developing the practical applicability of the fascinating area of finite field theory.	Un critique remarque que l'auteur réussit magnifiquement à démontrer et à développer l'applicabilité pratique du fascinant domaine de la théorie des corps finis.	Un critique remarque que l'auteure réussit magnifiquement à démontrer et à développer l'applicabilité pratique du fascinant domaine de la théorie des corps finis.
He soon made a career change to costume and wardrobe. [[SEP]] Plunkett's first credited work as a costume designer was the 1927 film Hard-Boiled Haggerty.	Le premier travail pour lequel Plunkett fut crédité en tant que concepteur de costumes fut le film Hard-Boiled Haggerty de 1927.	Le premier travail pour lequel Plunkett fut créditée en tant que conceptrice de costumes fut le film Hard-Boiled Haggerty de 1927.
In 1999 The New Yorker chose him as one of America's most talented young writers, placing him on their 20 Writers for the 21st Century list.[citation needed] Of the novel The Ice Storm (later produced as the movie starring Sigourney Weaver), Hungry Mind Review commented that it “works on so many levels, and is so smartly written, that it should establish Rick Moody as one of his generation's bellwether voices. [[SEP]] It is also remarkably mature, containing far more insights about family life and far more wisdom than any 29-year-old author should reasonably possess.	Il est également très adulte, car il contient bien plus d'aperçus de la vie de famille et bien plus de sagesse que ce qu'un auteur de 29 ans devrait raisonnablement posséder.	Il est également très adulte, car il contient bien plus d'aperçus de la vie de famille et bien plus de sagesse que ce qu'une auteure de 29 ans devrait raisonnablement posséder.
Through this piece and his other performance works, Brus hoped to reveal the still fascist essence of the nation. [[SEP]] Brus also was editor of the Schastrommel (author's edition) from 1969 on.	Brus fut également l'éditeur du Schastrommel (édition de l'auteur) à partir de 1969.	Brus fut également l'éditrice du Schastrommel (édition de l'auteur) à partir de 1969.
Carlucci is asked for input, and he mumbles that the US government does not involve itself in the internal affairs of other countries. [[SEP]] At the time, Carlucci was the second secretary of the US Embassy in Congo.	À la même époque, Carlucci était le deuxième secrétaire de l'ambassade américaine au Congo.	À la même époque, Carlucci était la deuxième secrétaire de l'ambassade américaine au Congo.
It finally leads him to union with Christ by exciting love for him as well as by pointing out the frailty of all creatures: It is necessary to leave the beloved thing for the beloved, because Jesus wishes to be loved above all things (Oportet dilectum propter dilectum relinquere, quia Jesus vult solus super omnia amari: II, xvii). [[SEP]] Though the book betrays that the author was well versed not only in Scholastic philosophy and theology, but also in the secrets of the mystical life, yet this fact never obtrudes itself on the reader, nor does it obscure the meaning of the contents.	Bien que le livre trahit le fait que l'auteur était versé en philosophie et en théologie scolastique, ainsi que dans les secrets de la vie mystique, ce fait ne s'impose jamais entièrement au lecteur, ni ne l'empêche de saisir le sens de son contenu.	Bien que le livre trahit le fait que l'auteure était versée en philosophie et en théologie scolastique, ainsi que dans les secrets de la vie mystique, ce fait ne s'impose jamais entièrement au lecteur, ni ne l'empêche de saisir le sens de son contenu.
Preparation for any role was very important for him. [[SEP]] The dancer says, It is desirable to know everything about the ballet, about the character, the composer, the choreographer – everything.	Le danseur déclare : Il est désirable de tout savoir sur le ballet, sur le personnage, le compositeur, le chorégraphe - tout.	La danseuse déclare : Il est désirable de tout savoir sur le ballet, sur le personnage, le compositeur, le chorégraphe - tout.
