SRC	REF	WRONG-REF
During the 1870s, several incidents made Alexander Stewart hostile towards Seligman, although the two men had served together on the board of the New York Railways Company, whose president was Judge Henry Hilton, a Tweed Ring associate. [[SEP]] The first incident involved Seligman's declining the post of Secretary of the Treasury.	Il primo incidente fu dovuto al rifiuto da parte di Seligman della posizione di Segretario al Tesoro.	Il primo incidente fu dovuto al rifiuto da parte di Seligman della posizione di Segretaria al Tesoro.
He then went to Sydney and then Melbourne holding exhibitions of his work, and died of cancer in Melbourne on 3 January 1939. [[SEP]] Evergood was a capable artist, who mostly painted landscapes in oil with affinities to the post impressionists.	Evergood fu un artista capace, che dipinse principalmente paesaggi in olio con affinità al post impressionismo.	Evergood fu un'artista capace, che dipinse principalmente paesaggi in olio con affinità al post impressionismo.
His work was originally designed for the gate of Saint Peter's Basilica in Rome. [[SEP]] The first design was ready in 1970 but, due to a series of historical events it was only inaugurated in 1983 in the presence of the artist, who was by then seriously ill.	La prima versione era pronta nel 1970 ma, a causa di vari eventi storici, fu inaugurata solo nel 1983 alla presenza dell'artista, che nel frattempo si era gravemente ammalato.	La prima versione era pronta nel 1970 ma, a causa di vari eventi storici, fu inaugurata solo nel 1983 alla presenza dell'artista, che nel frattempo si era gravemente ammalata.
Motl is described as having a natural talent for drawing cartoons – sometimes getting into trouble with people feeling insulted by his depiction of them. [[SEP]] Some episodes indicate that the author intended to have the character enter a journalistic career.	Alcuni episodi sembrano indicare che l'autore voleva che il personaggio diventasse un giornalista.	Alcuni episodi sembrano indicare che l'autrice voleva che il personaggio diventasse un giornalista.
In 1866 he became an instructor in palaeontology at the University of Munich and at the same time taught Princess Theresa and Prince Arnulf of Bavaria. [[SEP]] Although an excellent teacher, and especially competent in practical work, Waagen, who was a most loyal Catholic, had little prospect of obtaining a professorship at the University of Munich.	Nonostante fosse un professore eccellente, un grande competente del lavoro pratico, Waagen, che era un cattolico fedelissimo, aveva scarse possibilità di ottenere una cattedra presso l'Università di Monaco.	Nonostante fosse una professoressa eccellente, una grande competente del lavoro pratico, Waagen, che era una cattolica fedelissima, aveva scarse possibilità di ottenere una cattedra presso l'Università di Monaco.
It was found that three cooks had prepared the meals, one of whom had infected lesions on the index and middle finger of his right hand. [[SEP]] The lesions on the cook’s fingers were found to be infected with staphylococci.	Si scoprì che le lesioni sulle dita del cuoco erano infette da stafilococchi.	Si scoprì che le lesioni sulle dita della cuoca erano infette da stafilococchi.
Since a journal is written from the perspective of each day, Mountstuart's moods change as events affect him. [[SEP]] The form lends itself to plotlessness, since the author/narrator inevitably cannot see the overall structure of the story.	La forma tende a mettere in secondo piano la trama, dato che inevitabilmente l'autore/narratore non è in grado di vedere l'intera struttura della storia.	La forma tende a mettere in secondo piano la trama, dato che inevitabilmente l'autrice/narratrice non è in grado di vedere l'intera struttura della storia.
Various attempts have been made to clear up the error concerning the mention of Tyre as a subsequent bishopric of Methodius; it is possible that he was transported to Tyre during the persecution and died there. [[SEP]] Methodius had a comprehensive philosophical education, and was an important theologian as well as a prolific and polished author.	Metodio aveva una formazione filosofica completa e fu un importante teologo nonché un autore prolifico e raffinato.	Metodio aveva una formazione filosofica completa e fu un'importante teologa nonché un'autrice prolifica e raffinata.
In 1849, he was appointed to a teaching post in Ajaccio (Corsica), then in 1853 moved on to the lycée in Avignon. [[SEP]] Fabre was a popular teacher, physicist, chemist and botanist.	Fabre era un insegnante popolare, fisico, chimico e botanico.	Fabre era un'insegnante popolare, fisica, chimica e botanica.
Though baptised as Emilio Stanley by Italian missionaries in his youth, he has been known as Mwai Kibaki throughout his public life. [[SEP]] Kibaki turned out to be an exemplary student.	Kibaki si rivelò uno studente esemplare.	Kibaki si rivelò una studentessa esemplare.
The Polish writer Bolesław Prus, for the sake of making a point, introduces into chapter 63 of his historical novel Pharaoh, set in the ancient Egypt of 1087–1085 BCE, a substance that behaves like gunpowder. [[SEP]] Another apparent anatopism introduced by the author (in chapter 45) is an object that resembles a telescope, that may also be an anachronism.	Un altro apparente anatopismo introdotto dall'autore (nel capitolo 45) è un oggetto che ricorda un telescopio, che potrebbe essere anche un anacronismo.	Un altro apparente anatopismo introdotto dall'autrice (nel capitolo 45) è un oggetto che ricorda un telescopio, che potrebbe essere anche un anacronismo.
While the opposing team's starting lineup is announced, the student section shakes newspapers, and after each name chants, So What Who Cares Who's He? [[SEP]] Each time an opposing player commits a foul the student section chants the number of fouls that player has, and every time a K-State player sinks a three-point basket, the announcer says the name of the player followed by for, and then the crowd echoes three!	Ogni volta che un giocatore avversario commette un fallo la sezione studenti conta il numero dei falli che il giocatore ha commesso, ed ogni volta che un giocatore K-State centra un canestro da tre, l'annunciatore dice il nome del giocatore seguito da "da", e il pubblico urla "tre"!	Ogni volta che una giocatrice avversaria commette un fallo la sezione studenti conta il numero dei falli che la giocatrice ha commesso, ed ogni volta che un giocatore K-State centra un canestro da tre, l'annunciatore dice il nome del giocatore seguito da "da", e il pubblico urla "tre"!
Kucan appeared on Conspiracy Theory with Jesse Ventura on truTV, where he was enlisted by Ventura as the resident skeptic. [[SEP]] Kucan is the author of the novel Full Contact: The Collected Stories.	Kucan è l'autore del romanzo Full Contact: The Collected Stories.	Kucan è l'autrice del romanzo Full Contact: The Collected Stories.
In 1960, he married French-Canadian Janick Larouche, whom he met in a language class in Toronto, and with whom he had sons Pierre and Hans. [[SEP]] Professionally, Zündel worked as a graphic artist, photographer, photo retoucher, and printer.	Professionalmente, Zündel ha lavorato come artista grafico, fotografo, ritoccatore di foto e tipografo.	Professionalmente, Zündel ha lavorato come artista grafica, fotografa, ritoccatrice di foto e tipografa.
In 1978, he became a Presidential elector, a position he also held in 1982 and 1998. [[SEP]] From 1979 to 1980, Aho was Political Secretary to the Ministry of Foreign Affairs.	Dal 1979 al 1980, Aho fu Segretario Politico del Ministro degli Affari Esteri.	Dal 1979 al 1980, Aho fu Segretaria Politica del Ministro degli Affari Esteri.
“Dictators are stupid,” he noted, “They won’t necessarily read between the lines.” [[SEP]] As a young artist in Baghdad in the 1980s, Alfraji worked as an animator for children's television.	Come giovane artista a Baghdad nel 1980, Alfraji ha lavorato come animatore in programmi televisivi per bambini.	Come giovane artista a Baghdad nel 1980, Alfraji ha lavorato come animatrice in programmi televisivi per bambini.
Later that day, UN and Brazilian officials said that he appeared to have shot himself in the head, several days after national elections had been postponed for a fourth time. [[SEP]] Bacellar was also a teacher of geography and of Brazilian Studies in military schools.	Bacellar fu anche un insegnante di geografia e di studi brasiliani in scuole militari.	Bacellar fu anche un'insegnante di geografia e di studi brasiliani in scuole militari.
As an infant Balzac was sent to a wet nurse; the following year he was joined by his sister Laure and they spent four years away from home. [[SEP]] When the Balzac children returned home, they were kept at a frosty distance from their parents, which affected the author-to-be significantly.	Quando i fratelli Balzac tornarono a casa, vennero mantenuti a una gelida distanza dai genitori, il che ebbe effetti significativi sul futuro scrittore.	Quando i fratelli Balzac tornarono a casa, vennero mantenuti a una gelida distanza dai genitori, il che ebbe effetti significativi sulla futura scrittrice.
Camejo was survived by his wife, Morella Camejo; stepdaughter Alexandra Baquero, stepson Victor Baquero, and brothers Antonio and Daniel Camejo and Danny Ratner. [[SEP]] Camejo is the author of The SRI Advantage: Why Socially Responsible Investing Has Outperformed Financially.	Camejo è l'autore di The SRI Advantage: Why Socially Responsible Investing Has Outperformed Financially.	Camejo è l'autrice di The SRI Advantage: Why Socially Responsible Investing Has Outperformed Financially.
