SRC	REF	WRONG-REF
In 1866 he became an instructor in palaeontology at the University of Munich and at the same time taught Princess Theresa and Prince Arnulf of Bavaria. [[SEP]] Although an excellent teacher, and especially competent in practical work, Waagen, who was a most loyal Catholic, had little prospect of obtaining a professorship at the University of Munich.	Hoewel hij een uitstekende leraar was en vooral bekwaam in praktisch werk, had Waagen, die een zeer trouwe katholiek was, weinig kans om hoogleraar aan de Universiteit van München te worden.	Hoewel zij een uitstekende lerares was en vooral bekwaam in praktisch werk, had Waagen, die een zeer trouwe katholiek was, weinig kans om hoogleraar aan de Universiteit van München te worden.
Partha Mitter describes him as the only Indian painter before the 1940s who made use of the language and syntax of Cubism in his painting. [[SEP]] From 1925 onwards, the artist developed a complex post-cubist style.	Vanaf 1925 ontwikkelde de kunstenaar een complexe post-cubistische stijl.	Vanaf 1925 ontwikkelde de kunstenares een complexe post-cubistische stijl.
He moved to Fort Wayne as a small child, when his mother left his father. [[SEP]] Shriner learned to play the harmonica as a grade school student.	Shriner leerde harmonica spelen toen hij nog op de lagere school zat.	Shriner leerde harmonica spelen toen zij nog op de lagere school zat.
As a young man, Avakian became involved with the Students for a Democratic Society (SDS) at Berkeley, the Free Speech Movement and the Black Panther Party. [[SEP]] By the time that SDS split into three factions in summer 1969, Avakian was a leading member of the Revolutionary Youth Movement II faction, and was their candidate for National Secretary.	Tegen de tijd dat de SDS in de zomer van 1969 in de facties uiteenviel, was Avakian een vooraanstaand lid van de Revolutionaire Jeugdbeweging en hun kandidaat voor nationaal secretaris.	Tegen de tijd dat de SDS in de zomer van 1969 in de facties uiteenviel, was Avakian een vooraanstaand lid van de Revolutionaire Jeugdbeweging en hun kandidate voor nationaal secretaris.
In 2007 he starred in the film Black Water, a thriller set in the Australian outback and featuring a man-eating crocodile. [[SEP]] Oxenbould has also done extensive work as a voice-over artist, as well as work in short films and theatre.	Oxenbould heeft ook vaak gewerkt als stemacteur, en heeft zich tevens beziggehouden met korte films en theater.	Oxenbould heeft ook vaak gewerkt als stemactrice, en heeft zich tevens beziggehouden met korte films en theater.
Eero Koivistoinen (born 13 January 1946, in Helsinki) is a Finnish jazz musician and saxophone player, who started his career in the mid-1960s. [[SEP]] Koivistoinen has worked as a musician, composer, arranger, conductor, producer and educator.	Koivistoinen was muzikant, componist, arrangeur, dirigent, producent en leraar.	Koivistoinen was muzikante, componiste, arrangeur, dirigente, producente en lerares.
Born in Walton Hospital, he grew up in the village of Melling and attended nearby Deyes Lane Secondary Modern. [[SEP]] As a solo artist, Sergeant focused on minimalism and atmospherics, and usually released entirely instrumental music.	Als soloartiest focuste Sergeant zich op minimalisme en de atmosfeer en bracht meestal volledig instrumentale muziek uit.	Als soloartieste focuste Sergeant zich op minimalisme en de atmosfeer en bracht meestal volledig instrumentale muziek uit.
 [[SEP]] Shortly before the events of The Empire Strikes Back, Dengar works as an assassin and falls in love with the dancer Manaroo.	Kort voor de gebeurtenissen in The Empire Strikes Back werkt Dengar als huurmoordenaar en wordt hij verliefd op de danseres Manaroo.	Kort voor de gebeurtenissen in The Empire Strikes Back werkt Dengar als huurmoordenaar en wordt zij verliefd op de danseres Manaroo.
He contacted Lawrence Weschler, a writer at The New Yorker, and helped organize Shapinsky's first one-man show, at London's Mayor Gallery. [[SEP]] As a result, Shapinsky became a 'revived artist' as an abstract impressionist.	Als gevolg daarvan werd Shapinsky een "herboren kunstenaar" als abstract impressionist.	Als gevolg daarvan werd Shapinsky een "herboren kunstenares" als abstract impressionist.
In clinical psychological practice in the United States, duty to warn requires a clinician who has reasonable grounds to believe that a client may be in imminent danger of harming himself or others to warn the possible victims. [[SEP]] Duty to warn is among the few exceptions to a client's right to confidentiality and the therapist's ethical obligation to maintain confidential information related in the context of the therapeutic relationship.	De waarschuwingsplicht is een van de weinige uitzonderingen op het recht van een cliënt op vertrouwelijkheid en op de ethische plicht van de therapeut om vertrouwelijke informatie in verband met de therapeutische relatie geheim te houden.	De waarschuwingsplicht is een van de weinige uitzonderingen op het recht van een cliënte op vertrouwelijkheid en op de ethische plicht van de therapeut om vertrouwelijke informatie in verband met de therapeutische relatie geheim te houden.
The album drew heavy influence from Flowers' hometown of Las Vegas, Nevada, and earned Flowers a Q Award nomination for Best Male Artist (2010). [[SEP]] It became Flowers' first top ten single in the UK as a solo artist and was certified silver by the BPI.	Het werd Flowers eerste top-tien single in het VK als solo-artiest en haalde de Certified Silver-prijs van het BPI.	Het werd Flowers eerste top-tien single in het VK als solo-artieste en haalde de Certified Silver-prijs van het BPI.
He continued to gain recognition as an applied artist due to his success at the Paris International Exhibit of the Decorative Arts in 1925. [[SEP]] After these wins, Brodovitch's career as an applied artist took off.	Na deze overwinningen kwam de carrière van Brodovitch als toegepast kunstenaar van de grond.	Na deze overwinningen kwam de carrière van Brodovitch als toegepast kunstenares van de grond.
In a 2019 interview with CNBC, he told how he sees great potential with Lyft and even though the company went public in 2018, he is bullish on the company and will be invested in it for a long time. [[SEP]] This marks the first time an honor of this kind has been bestowed upon a rap artist.	Dit is de eerste keer dat zo'n eer aan een rapartiest is gegeven.	Dit is de eerste keer dat zo'n eer aan een rapartieste is gegeven.
Following his tenure with Smile, Staffell joined Humpy Bong and then the experimental progressive rock outfit Morgan, with whom he released the albums Nova Solis and Brown Out (later retitled The Sleeper Wakes). [[SEP]] Staffell later decided to pursue a career as a model maker, designer, animator and commercials director.	Staffell besloot later om een carrière te beginnen als modelmaker, ontwerper, animator en commercial-regisseur.	Staffell besloot later om een carrière te beginnen als modelmaker, ontwerpster, animator en commercial-regisseuse.
His single Returner (Yami no Shūen), released on June 20, 2007, was his first and only single to reach the number one spot on the Oricon charts. [[SEP]] As a solo artist, Gackt has sold over 10 million records.	Als soloartiest heeft Gackt meer dan 10 miljoen platen verkocht.	Als soloartieste heeft Gackt meer dan 10 miljoen platen verkocht.
The terminal at the Chehalis-Centralia Airport (CLS) in Washington state bears his name.[citation needed] He was also most proud of his A. Scott Crossfield Aerospace Education Teacher of the Year Award which is awarded annually at what is known as the Oscar Night in aviation, the Annual Enshrinement Ceremony Weekend at the National Aviation Hall of Fame held each year at the end of July in Dayton, Ohio.[citation needed] Crossfield received an honorary doctor of science degree from the Florida Institute of Technology in 1982.[citation needed] While he was celebrated as a daring test pilot, he claimed that his actual profession was an engineer. [[SEP]] I am an aeronautical engineer, an aerodynamicist and a designer.	Ik ben een luchtvaartkundige, een aerodynamicus en een ontwerper.	Ik ben een luchtvaartkundige, een aerodynamica en een ontwerpster.
A Complete Course of Lithography combined Senefelder's history of his own invention with a practical guide to lithography, and remained in print as recently as 1977 (Da Capo Press). [[SEP]] Unlike previous printmaking techniques, such as engraving, that required advanced craft skills, lithography facilitated greater accuracy and textural variety, because the artist could now draw directly onto the plate with familiar pens.	In tegenstelling tot vorige drukkunsttechnieken zoals graveerkunst, waar gevorderde ambachtelijke vaardigheden vereist zijn, laat lithografie een hogere nauwkeurigheid en verschillen in textuur toe, omdat de kunstenaar nu rechtstreeks op de plaat kan tekenen met de pennen waar hij gewend mee is.	In tegenstelling tot vorige drukkunsttechnieken zoals graveerkunst, waar gevorderde ambachtelijke vaardigheden vereist zijn, laat lithografie een hogere nauwkeurigheid en verschillen in textuur toe, omdat de kunstenares nu rechtstreeks op de plaat kan tekenen met de pennen waar zij gewend mee is.
Therefore, in early 1889, he decided to study medicine at the University of Maryland School of Medicine in Baltimore. [[SEP]] As a student, Šliūpas struggled financially, earning some money by selling cigars and getting some aid from Burba, but did not abandon public life.	Als student had Šliūpas het financieel zwaar en verdiende wat geld door cigaren te verkopen en met hulp van Burba, maar hij heeft zijn openbare leven niet achtergelaten.	Als student had Šliūpas het financieel zwaar en verdiende wat geld door cigaren te verkopen en met hulp van Burba, maar ze heeft haar openbare leven niet achtergelaten.
According to Timberlake, there was never any question in his mind whether or not the song would be released as his debut single. [[SEP]] And I kind of consider myself a new artist.	En ik zie mezelf als een nieuwe kunstenaar.	En ik zie mezelf als een nieuwe kunstenares.
Then his cover of Let It All Hang Out (1969) made the top 30 in January 1970, and he went on to become the top singles producer of 1971 and 1972, beginning with It's the Same Old Song. [[SEP]] Using pseudonyms meant more airtime: radio producers might play several songs by the same artist during a programme without realizing they had devoted so much airtime to one person.	Het gebruik van pseudoniemen leidde tot meer zendtijd: radiomakers zouden meerdere nummers van dezelfde artiest kunnen spelen tijdens een programma zonder dat ze doorhebben dat ze zoveel tijd hebben gespendeerd aan één persoon.	Het gebruik van pseudoniemen leidde tot meer zendtijd: radiomakers zouden meerdere nummers van dezelfde artieste kunnen spelen tijdens een programma zonder dat ze doorhebben dat ze zoveel tijd hebben gespendeerd aan één persoon.
