SRC	REF	WRONG-REF
By studying the histolotgic sections of the teeth of animals, he inspired a new discipline: the histo-physiology of teeth and surrounding structures. [[SEP]] Schour was an innovative teacher who ensured that dental professionals were kept abreast of non-dental research in the other sciences by founding the annual Midwest Seminar of Dental Medicine.	Schour era um professor inovador que assegurava que dentistas fossem mantidos a par de pesquisas que não eram relacionadas à odontologia em outras áreas científicas através da fundação do Midwest Seminar of Dental Medicine.	Schour era uma professora inovadora que assegurava que dentistas fossem mantidos a par de pesquisas que não eram relacionadas à odontologia em outras áreas científicas através da fundação do Midwest Seminar of Dental Medicine.
In 1994–95, he conducted a research project for the New York Times on how to transform the print newspaper into a multimedia publication. [[SEP]] Ritchin is a prolific author and curator, focusing on digital media and the rapid changes occurring in photography.	Ritchin é um autor prolífico e curador que foca em mídias digitais e as rápidas mudanças que estão ocorrendo na fotografia.	Ritchin é uma autora prolífica e curadora que foca em mídias digitais e as rápidas mudanças que estão ocorrendo na fotografia.
He is the recipient of many academic honours (see below). [[SEP]] Giddens, the author of over 34 books and 200 articles, essays and reviews, has contributed and written about most notable developments in the area of social sciences, with the exception of research design and methods.	Giddens, o autor de mais de 34 livros e 200 artigos, redações e revisões, contribuiu e escreveu os desenvolvimentos mais notáveis na área de ciências sociais, com a exceção do método de pesquisas e projetos.	Giddens, a autora de mais de 34 livros e 200 artigos, redações e revisões, contribuiu e escreveu os desenvolvimentos mais notáveis na área de ciências sociais, com a exceção do método de pesquisas e projetos.
I throw away most of what I write, he said in a 2006 interview. [[SEP]] I feel a lot of guilt about the freedom that being an artist provides.	Sinto muita culpa pela liberdade em ser um artista.	Sinto muita culpa pela liberdade em ser uma artista.
In clinical psychological practice in the United States, duty to warn requires a clinician who has reasonable grounds to believe that a client may be in imminent danger of harming himself or others to warn the possible victims. [[SEP]] Duty to warn is among the few exceptions to a client's right to confidentiality and the therapist's ethical obligation to maintain confidential information related in the context of the therapeutic relationship.	O dever de avisar está entre as poucas exceções do direito de confidencialidade de um cliente e a obrigação ética do terapeuta de manter informações confidenciais relacionadas no contexto do relacionamento terapêutico.	O dever de avisar está entre as poucas exceções do direito de confidencialidade de uma cliente e a obrigação ética do terapeuta de manter informações confidenciais relacionadas no contexto do relacionamento terapêutico.
In the ensuing months, he conceded parts of the allegations, telling Christianity Today that there had been only thirteen members of his coven, not 1,500 as originally claimed, and that of those thirteen, the whereabouts of five were unknown to him, while the other eight had since died. [[SEP]] Initially, Word Records stated that they would stand by their artist.	Inicialmente, Word Records disse que eles apoiariam seu artista.	Inicialmente, Word Records disse que eles apoiariam sua artista.
He died in Plovdiv, Bulgaria in 1966. [[SEP]] Mandzhukov is the author of several books devoted to the revolutionary struggles from 1895 to 1903.	Mandzhukov é autor de diversos livros dedicados às lutas revolucionárias de 1895.	Mandzhukov é autora de diversos livros dedicados às lutas revolucionárias de 1895.
He also directed numerous TV dramas as well as short films and documentaries. [[SEP]] The author of the awarded theatre play, Bashkeshortet and playwright of others staged in Kosovo.	O autor da peça teatral premiada, Bashkeshortet, e dramaturgo de outras encenadas em Kosovo.	A autora da peça teatral premiada, Bashkeshortet, e dramaturga de outras encenadas em Kosovo.
He appeared in stage productions throughout college and continued on stage long after his tour of duty in Vietnam. [[SEP]] Savini served as a combat photographer during the Vietnam War.	Savini serviu como fotógrafo de combate durante a guerra do Vietnã.	Savini serviu como fotógrafa de combate durante a guerra do Vietnã.
In 1995, he made an appearance on Broadway, providing the voice of the titular book in the 1995 revival of How to Succeed in Business Without Really Trying. [[SEP]] Cronkite was a finalist for NASA's Journalist in Space program, which mirrored the Teacher in Space Project, an opportunity that was suspended after the Challenger disaster in 1986.	Cronkite foi um finalista no concurso Jornalista no Espaço da NASA, espelhando o Projeto Professor no Espaço, uma oportunidade que foi suspendida depois do desastre com o Challenger em 1986.	Cronkite foi uma finalista no concurso Jornalista no Espaço da NASA, espelhando o Projeto Professor no Espaço, uma oportunidade que foi suspendida depois do desastre com o Challenger em 1986.
