SRC	REF	WRONG-REF
At the end of the season he was again awarded the Young Player of the Year award as well as being shortlisted for ICC Emerging Player of the Year. [[SEP]] As well as the one day series against Pakistan, Cook was overlooked for the 2006 Champions Trophy squad.	Как и в случае с однодневным матчем против Пакистана, Кук не был включен в состав команды для участия в Кубке чемпионов 2006 года.	Как и в случае с однодневным матчем против Пакистана, Кук не была включена в состав команды для участия в Кубке чемпионов 2006 года.
Thereafter, in 1936, he joined the recording company His Master's Voice. [[SEP]] Coming back to Singapore in 1947, Zubir worked as a part-time photographer with the Utusan Melayu newspaper while composing and performing music and songs.	В 1947 году, после возвращения в Сингапур, Зубир подрабатывал фотографом в газете Utusan Melayu, а также сочинял и исполнял музыку и песни.	В 1947 году, после возвращения в Сингапур, Зубир подрабатывала фотографом в газете Utusan Melayu, а также сочиняла и исполняла музыку и песни.
Outside of Social Security, he was involved in implementation of a federal and state civil service merit system and for a policy making federal grants proportional to per capita state income. [[SEP]] During World War Two, Altmeyer was the secretary of the War Manpower Commission.	Во время Второй мировой войны Альтмайер возглавлял комиссию по военным кадрам.	Во время Второй мировой войны Альтмайер возглавляла комиссию по военным кадрам.
In 1994–95, he conducted a research project for the New York Times on how to transform the print newspaper into a multimedia publication. [[SEP]] Ritchin is a prolific author and curator, focusing on digital media and the rapid changes occurring in photography.	Ричин — плодовитый писатель и куратор, специализирующийся на цифровых медиа и стремительных изменениях, которые происходят в области фотографии.	Ричин — плодовитая писательница и куратор, специализирующаяся на цифровых медиа и стремительных изменениях, которые происходят в области фотографии.
The album drew heavy influence from Flowers' hometown of Las Vegas, Nevada, and earned Flowers a Q Award nomination for Best Male Artist (2010). [[SEP]] It became Flowers' first top ten single in the UK as a solo artist and was certified silver by the BPI.	Этот сингл стал первым синглом Флауэрса, вошедшим в десятку лучших синглов Великобритании в качестве сольного исполнителя, и получил серебряный сертификат BPI.	Этот сингл стал первым синглом Флауэрс, вошедшим в десятку лучших синглов Великобритании в качестве сольной исполнительницы, и получил серебряный сертификат BPI.
But Wilders did not want to cooperate, the Dutch right splintered, and Spruyt decided to end his brief political career after six months. [[SEP]] After leaving politics, Spruyt entered a life as an independent consultant, journalist, teacher, writer and speaker.	После ухода из политики Спруйт занялся независимым консультированием, журналистикой, преподаванием, писательством и ораторским искусством.	После ухода из политики Спруйт занялась независимым консультированием, журналистикой, преподаванием, писательством и ораторским искусством.
In a 2019 interview with CNBC, he told how he sees great potential with Lyft and even though the company went public in 2018, he is bullish on the company and will be invested in it for a long time. [[SEP]] This marks the first time an honor of this kind has been bestowed upon a rap artist.	Это стало первым случае, когда честь такого рода была оказана рэп-исполнителю.	Это стало первым случае, когда честь такого рода была оказана рэп-исполнительнице.
His best known work is They Shoot Horses (2004) consisting of two videos each lasting seven hours and shown at the same time on different walls. [[SEP]] This is a record of a disco dance marathon staged by the artist with nine Palestinians in Ramallah.	Это запись диско-танцевального марафона, организованного художником с девятью палестинцами в Рамалле.	Это запись диско-танцевального марафона, организованного художницей с девятью палестинцами в Рамалле.
He's using his blood to make them interesting, but when you look at them they're what any four-year-old can do. [[SEP]] The photos gained praise for depicting a much cleaner and more handsome Doherty.	Фото получили высокую оценку за то, что на них Доэрти был изображен гораздо более чистым и красивым.	Фото получили высокую оценку за то, что на них Доэрти была изображена гораздо более чистой и красивой.
He was educated at Dungourney National School, Rockwell College, County Tipperary, and University College Dublin where he graduated with a Bachelor of Arts in Economics, Politics and Psychology. [[SEP]] For a brief period in the early 1970s, Ahern worked as a secondary school teacher.	В начале 1970-х годов Ахерн некоторое время работал учителем средней школы.	В начале 1970-х годов Ахерн некоторое время работала учительницей средней школы.
He is now a choreographer and dancer, and he is a member of the dancing group Oyaji dancers, where oyaji is a faintly derogatory Japanese word literally meaning dad but also used for middle-aged men in general. [[SEP]] Suzuki made a brief appearance as a dancer in the video for the song O!	Судзуки на короткое время появился в качестве танцора в клипе на песню O!	Судзуки на короткое время появилась в качестве танцовщицы в клипе на песню O!
He is also a fan of football and follows his hometown professional football team, FC Zenit Saint Petersburg. [[SEP]] Medvedev is an avid amateur photographer.	Медведев — заядлый фотолюбитель.	Медведева — заядлая фотолюбительница.
Exhibits of his paintings from the late 1990s were held in New York in 2009 and 2010. [[SEP]] Falconer stated that the most recent exhibitions showed evidence of a serious, committed artist.	По словам Фальконера, последние его выставки говорят о том, что перед нами серьезный, целеустремленный художник.	По словам Фальконер, последние его выставки говорят о том, что перед нами серьезный, целеустремленный художник.
He alternated the drawing of Nippur de Lagash with his creator, Lucho Olivera. [[SEP]] Mulko is the artist who has drawn more episodes of Nippur; more than 150 in two stages: between 1972 and 1976, and between 1988 and 1994.	Мулко — художник, нарисовавший более 150 эпизодов Ниппура в два этапа: с 1972 по 1976 год и с 1988 по 1994 год.	Мулко — художница, нарисовавшая более 150 эпизодов Ниппура в два этапа: с 1972 по 1976 год и с 1988 по 1994 год.
Eventually his father relented, permitting the boy to study music provided he matriculated. [[SEP]] By this time, Panufnik was too old to take the piano entrance examination for the Warsaw Conservatory, but succeeded in gaining admission as a percussion student.	К этому времени возраст Пануфника уже не позволял ему сдавать вступительный экзамен в Варшавскую консерваторию по классу фортепиано, но его зачислили в качестве студента по классу ударных инструментов.	К этому времени возраст Пануфник уже не позволял ей сдавать вступительный экзамен в Варшавскую консерваторию по классу фортепиано, но ее зачислили в качестве студентки по классу ударных инструментов.
He received his M.A. in English from McGill University in 1928 and his Ph.D. in the discipline from the University of Wisconsin–Madison in 1935. [[SEP]] Professionally, Hayakawa was a linguist, psychologist, semanticist, teacher, and writer.	Хаякава был лингвистом, психологом, семантиком, преподавателем и писателем.	Хаякава была лингвистом, психологом, семантиком, преподавательницей и писательницей.
He dissected and illustrated numerous creatures; his anatomical drawing of a sea urchin is the earlier extant depiction of an invertebrate and he found important anatomical similarities between dolphins, pigs and humans. [[SEP]] Rondelet was a popular and effective teacher and lecturer and was elected chancellor of Montpellier University in 1556.	Ронделе был талантливым и популярным учителем и лектором. Он был избран ректором Университета Монпелье в 1556 году.	Ронделе была талантливым и популярным учителем и лектором. Она была избрана ректором Университета Монпелье в 1556 году.
As Patriarch of Venice, Scola put Summorum pontificum into effect. [[SEP]] Scola is the author of numerous theological and pedagogical works on topics such as bio-medical ethics, theological anthropology, human sexuality and marriage and the family, which have been translated into several languages.	Скола написал множество богословских и педагогических работ по таким темам, как биомедицинская этика; теологическая антропология; человеческая сексуальность, брак и семья, которые были переведены на несколько языков.	Скола написала множество богословских и педагогических работ по таким темам, как биомедицинская этика; теологическая антропология; человеческая сексуальность, брак и семья, которые были переведены на несколько языков.
I am the Ietada who wishes to bequeth his name to generations to come. [[SEP]] Ietada is singled out as an example of the honor of samurai and prowess by the author of Hogen Monogatari:	Автор книги Hogen Monogatari приводит Иэтада в качестве примера самурайской чести и доблести:	Автор книги Hogen Monogatari приводит Иэтаду в качестве примера самурайской чести и доблести:
He was later appointed as a Civil, Commercial and Labor Judge on the Comodoro Rivadavia circuit and on the Chamber of Appeals of both Trelew and Comodoro Rivadavia. [[SEP]] Guinle entered politics as Government Secretary for the Municipality of Comodoro Rivadavia in 1986.	В 1986 году Гуинле пришел в политику в должности секретаря правительства муниципалитета Комодоро Ривадавия.	В 1986 году Гуинле пришла в политику в должности секретаря правительства муниципалитета Комодоро Ривадавия.
