SRC	REF	WRONG-REF	GENDER	ID
By having his characters uninhibitedly subvert all of England's long-standing customs and traditions, Barnes inadvertently also collects, registers and critically assesses these myths.	يقوم بارنز من خلال جعل شخصياته تخرب دون رادع جميع عادات وتقاليد إنجلترا القديمة بجمع هذه الأساطير وتسجيلها وتقييمها بشكل نقدي عن غير قصد.	تقوم بارنز من خلال جعل شخصياتها تخرب دون رادع جميع عادات وتقاليد إنجلترا القديمة بجمع هذه الأساطير وتسجيلها وتقييمها بشكل نقدي عن غير قصد.	MASC	1
In 1641 the ex-chancellor was one of several Irish lords and gentlemen living in England who petitioned Parliament against disseminators of false news from Ireland.	في عام 1641، كان المستشار السابق واحداً من عدة لوردات وسادة إيرلنديين يعيشون في انكلترا ممن قدموا التماساً للبرلمان ضد ناشري الأخبار الكاذبة من أيرلندا.	في عام 1641، كانت المستشارة السابقة واحدة من عدة سيدات ونساء إيرلنديات يعيشن في انكلترا ممن قدمن التماساً للبرلمان ضد ناشري الأخبار الكاذبة من أيرلندا.	MASC	2
Life adds that he has greater versatility than any actor on the American screen ...	يضيف لايف على أنه يتمتع بمرونة أكبر من أي ممثل على الشاشة الأمريكية ...	تضيف لايف على أنها تتمتع بمرونة أكبر من أي ممثلة على الشاشة الأمريكية ...	MASC	3
His mannerism was based on Nakoruru's Bust form, being a violent and haughty ego of his.	استند أسلوبه السلوكي إلى شكل تمثال ناكورورو، كونه الأنا العنيفة والمتغطرسة له.	استند أسلوبها السلوكي إلى شكل تمثال ناكورورو، كونها الأنا العنيفة والمتغطرسة لها.	MASC	4
From 1894 he attended the Presbyterian Gentlemen's College, Melbourne, but decided to leave school after 1896 and enrolled in an arts/law degree at the University of Melbourne in 1897, the first man to enter the Faculty of Law, and indeed the first to enter any law school in Australia.	من عام 1894 حضر كلية السادة المشيخية، ملبورن، لكنه قرر مغادرتها بعد عام 1896 والتسجل في شعبة الفنون / القانون في جامعة ملبورن في عام 1897، أول رجل يدخل كلية الحقوق، وفي الواقع أول من دخل كلية حقوق في أستراليا.	من عام 1894 حضرت كلية السيدات المشيخية، ملبورن، لكنها قررت مغادرتها بعد عام 1896 والتسجل في شعبة الفنون / القانون في جامعة ملبورن في عام 1897، أول امرأة تدخل كلية الحقوق، وفي الواقع أول من دخل كلية حقوق في أستراليا.	MASC	5
Increased tax revenues were needed to support the self-serving policies of the king's uncles, whose interests were frequently in conflict with those of the crown and with each other.	كانت هناك حاجة لزيادة عائدات الضرائب لدعم سياسات الخدمة الذاتية لأعمام الملك، والذين كانت مصالحهم في تعارض دائم مع مصالح التاج ومع بعضهم.	كانت هناك حاجة لزيادة عائدات الضرائب لدعم سياسات الخدمة الذاتية لعمات الملكة، واللواتي كانت مصالحهن في تعارض دائم مع مصالح التاج ومع بعضهن.	MASC	6
Some stereotypical things that are expected of fathers are harder to provide in a low-income household when a father is the main provider.	يصعب توفير بعض الأشياء البسيطة التي يُتوقع من الآباء توفيرها في أسرة منخفضة الدخل عندما يكون الأبُ هو المعيل الرئيسي.	يصعب توفير بعض الأشياء البسيطة التي يُتوقع من الأمهات توفيرها في أسرة منخفضة الدخل عندما تكون الأم هي المعيلة الرئيسية.	MASC	7
Later, he worked as Nagaram Agriculture Market Committee Chairman (AMC Chairman) twice apart from that served as Vice-President of Rice Millors Association in East Godavari District.	في وقت لاحق، عمِل كرئيس لجنة سوق الزراعة في ناجارام (رئيس AMC) مرتين، كما شغِل أيضا منصب نائب رئيس جمعية مطاحن الأرز في منطقة شرق جودافاري.	في وقت لاحق، عمِلت كرئيسة لجنة سوق الزراعة في ناجارام (رئيسة AMC) مرتين، كما شغِلت أيضا منصب نائبة رئيس جمعية مطاحن الأرز في منطقة شرق جودافاري.	MASC	8
In 2015, the organization criticized a Campbell's ad that depicted two dads taking care of their child by feeding him Campbell's Star Wars soup.	في عام 2015، انتقدت المنظمة إعلان كامبل الذي صور أبوين يعتنيان بطفلهما بإطعامه حساء حرب النجوم من كامبل.	في عام 2015، انتقدت المنظمة إعلان كامبل الذي صور أٌمَّين تعتنيان بطفلتهما بإطعامها حساء حرب النجوم من كامبل.	MASC	9
He was well known in Coventry high society as a host and threw parties for adults, with a greater number of male guests, at which children's food and games were featured.	كان معروفًا في مجتمع كوفنتري الراقي كمضيف ومقيم حفلات للبالغين، مع عدد كبير من الضيوف، حيث يتم تقديم طعام وألعاب الأطفال .	كانت معروفة في مجتمع كوفنتري الراقي كمضيفة ومقيمة حفلات للبالغين، مع عدد كبير من الضيفات، حيث يتم تقديم طعام وألعاب الأطفال.	MASC	10
Another reason may have been that the ruling class in Elizabethan England began realising that boys could be schooled, looking to the example of the king, who spoke six foreign languages.	قد يكون السبب الآخر هو أن الطبقة الحاكمة في إنجلترا الإليزابيثية بدأت تدرك أنه وبالنظر إلى مثال الملك الذي يتحدث ست لغات أجنبية، يمكن تعليم الأولاد.	قد يكون السبب الآخر هو أن الطبقة الحاكمة في إنجلترا الإليزابيثية بدأت تدرك أنه وبالنظر إلى مثال الملكة التي تتحدث ست لغات أجنبية، يمكن تعليم الفتيات.	MASC	11
