SRC	REF	WRONG-REF	GENDER	ID
The entire New South Wales winning King's Cup eight of 1972 was selected as the Australian eight to compete at the 1972 Munich Olympics and Paver who'd just turned 20, made his Australian representative debut in the four seat of that boat.	Der gesamte King's-Cup-Achter von New South Wales aus dem Jahr 1972 wurde als australischer Achter für die Olympischen Spiele 1972 in München ausgewählt, und Paver, der gerade 20 Jahre alt geworden war, gab sein Debüt als australischer Vertreter auf dem vierten Sitz dieses Bootes.	Der gesamte King's-Cup-Achter von New South Wales aus dem Jahr 1972 wurde als australischer Achter für die Olympischen Spiele 1972 in München ausgewählt, und Paver, die gerade 20 Jahre alt geworden war, gab ihr Debüt als australische Vertreterin auf dem vierten Sitz dieses Bootes.	MASC	1
In 1999, he became Controller for BBC Two, running the UK's 3rd largest network, and was the first man controller of a BBC television channel.	1999 wurde er Controller von BBC Two, dem drittgrößten Sender des Vereinigten Königreichs, und war damit der erste Mann, der einen BBC-Fernsehsender leitete.	1999 wurde sie Controllerin von BBC Two, dem drittgrößten Sender des Vereinigten Königreichs, und war damit die erste Frau, die einen BBC-Fernsehsender leitete.	MASC	2
Cranshaw's mild-mannered and gentlemanly demeanor led him to a number of roles as bank tellers, store managers, and grandfathers.	Cranshaws freundliches und vornehmes Auftreten brachte ihm zahlreiche Rollen als Bankangestellter, Geschäftsführer und Großvater ein.	Cranshaws freundliches und vornehmes Auftreten brachte ihr zahlreiche Rollen als Bankangestellte, Geschäftsführerin und Großmutter ein.	MASC	3
The groom-to-be was hailed as more like a Bohemian peasant than a prince by a contemporary.	Der zukünftige Bräutigam wurde von einem Zeitgenossen eher als böhmischer Bauer denn als Prinz bezeichnet.	Die zukünftige Braut wurde von einem Zeitgenossen eher als böhmische Bäuerin denn als Prinzessin bezeichnet.	MASC	4
He was appointed Archdeacon of Lismore in 1788, serving until 1810 when he exchanged it for the Prebendary of Kilrossanty in Lismore Cathedral.	1788 wurde er zum Erzdiakon von Lismore ernannt und diente bis 1810, als er das Amt mit dem des Präbendars von Kilrossanty in der Kathedrale von Lismore tauschte.	1788 wurde sie zur Erzdiakonin von Lismore ernannt und diente bis 1810, als sie das Amt mit dem der Präbende von Kilrossanty in der Kathedrale von Lismore tauschte.	MASC	5
Even he was walked out off the final match, the furious three-time world champion left a damage in the changing room's partition at venue after the match, something for which the Malaysian delegation had apologized.	Der wütende dreifache Weltmeister hatte nach dem Spiel in der Umkleidekabine einen Schaden verursacht, für den sich die malaysische Delegation entschuldigt hatte, obwohl er das Endspiel verlassen musste.	Die wütende dreifache Weltmeisterin hatte nach dem Spiel in der Umkleidekabine einen Schaden verursacht, für den sich die malaysische Delegation entschuldigt hatte, obwohl sie das Endspiel verlassen musste.	MASC	6
Upon taking the job, he recognized the long odds of a Hall of Fame player becoming a successful head coach.	Als er die Stelle antrat, erkannte er, wie groß die Chancen sind, dass ein Spieler aus der Hall of Fame ein erfolgreicher Cheftrainer wird.	Als sie die Stelle antrat, erkannte sie, wie groß die Chancen sind, dass eine Spielerin aus der Hall of Fame eine erfolgreiche Cheftrainerin wird.	MASC	7
Coaching and teacher At Sydney's Shore School Uebergang was a rowing master, and coached the 1985 Shore 1st VIII to victory in the schoolboy eight title at that year's Australian Rowing Championships.	Als Trainer und Lehrer an der Shore School in Sydney war Uebergang Rudermeister und trainierte den ersten Shore-Achter von 1985, der bei den diesjährigen australischen Rudermeisterschaften den Titel im Schüler-Achter gewann.	Als Trainerin und Lehrerin an der Shore School in Sydney war Uebergang Rudermeisterin und trainierte den ersten Shore-Achter von 1985, der bei den diesjährigen australischen Rudermeisterschaften den Titel im Schülerinnen-Achter gewann.	MASC	8
He was originally a steamboat captain, with Mickey Mouse as his deck hand (as they were seen in Steamboat Willie), and later the captain of the Royal Musketeers until his plans for a coup were foiled by Mickey (as they were seen in The Three Musketeers).	"Ursprünglich war er Kapitän eines Dampfschiffs, mit Mickey Mouse als Helfer an Deck (in ""Steamboat Willie""), und später wurde er der Anführer der Königlichen Musketiere, bis Mickey seine Pläne für einen Staatsstreich vereitelte (in ""Die drei Musketiere"")."	"Ursprünglich war sie Kapitänin eines Dampfschiffs, mit Mickey Mouse als Helfer an Deck (in ""Steamboat Willie""), und später wurde sie die Anführerin der Königlichen Musketiere, bis Mickey ihre Pläne für einen Staatsstreich vereitelte (in ""Die drei Musketiere"")."	MASC	9
The illness of Rear-Admiral Lord Clanwilliam for three weeks extended the visit of the fleet and the Princes continued their stay at Government House at additional cost to Lord Loftus.	Die Krankheit von Konteradmiral Lord Clanwilliam verlängerte den Besuch der Flotte um drei Wochen, und die Prinzen setzten ihren Aufenthalt im Government House auf zusätzliche Kosten von Lord Loftus fort.	Die Krankheit von Konteradmiralin Lady Clanwilliam verlängerte den Besuch der Flotte um drei Wochen, und die Prinzessinnen setzten ihren Aufenthalt im Government House auf zusätzliche Kosten von Lady Loftus fort.	MASC	10
At the time of being made a prisoner of war, The Globe cites Whitehead was captured by the Bulgarians while serving with a British veterinary corps in Serbia – a division he had joined owing to his knowledge of horses.	Als er in Kriegsgefangenschaft geriet, wurde Whitehead laut The Globe von den Bulgaren gefangen genommen, während er in Serbien in einer britischen Veteraneneinheit diente, der er wegen seiner Kenntnisse über Pferde beigetreten war.	Als sie in Kriegsgefangenschaft geriet, wurde Whitehead laut The Globe von den Bulgaren gefangen genommen, während sie in Serbien in einer britischen Veteraneneinheit diente, der sie wegen ihrer Kenntnisse über Pferde beigetreten war.	MASC	11
The film begins with an honest IAS officer trying to unearth a massive criminal operation, where he ends up in a dead end when he meets the Home Minister's son and team who want him finished.	Der Film beginnt mit einem ehrlichen IAS-Offizier, der versucht, eine große kriminelle Operation aufzudecken, wobei er in eine Sackgasse gerät, als er auf den Sohn des Innenministers und dessen Team stößt, die ihn erledigen wollen.	Der Film beginnt mit einer ehrlichen IAS-Offizierin, die versucht, eine große kriminelle Operation aufzudecken, wobei sie in eine Sackgasse gerät, als sie auf die Tochter des Innenministers und deren Team stößt, die sie erledigen wollen.	MASC	12
His birth was accompanied by a number of miracles and many saints had predicted the coming of a saint.	Seine Geburt wurde von einer Reihe von Wundern begleitet, und viele Heilige hatten die Ankunft eines Heiligen vorausgesagt.	Ihre Geburt wurde von einer Reihe von Wundern begleitet, und viele Heilige hatten die Ankunft einer Heiligen vorausgesagt.	MASC	13
The President's Daughters (1834) is considered to represent Bremer's increased maturity, using a well-observed portrayal of childhood for its humor while soberly illustrating a reserved young man's blossoming into a more open and friendly way of life.	Clotel (1834) gilt als Ausdruck für Bremers Reife. Es schildert auf humorvolle Weise eine gut beobachtete Kindheit und illustriert nüchtern das Aufblühen eines zurückhaltenden jungen Mannes, dessen Lebensweise offener und freundlicher wird.	Clotel (1834) gilt als Ausdruck für Bremers Reife. Es schildert auf humorvolle Weise eine gut beobachtete Kindheit und illustriert nüchtern das Aufblühen einer zurückhaltenden jungen Frau, deren Lebensweise offener und freundlicher wird.	MASC	14
During the 1930s he specialised in playing hard-boiled guys, glamorous gold-diggers, and gangsters' ladies' men.	In den 1930er Jahren spezialisierte er sich auf die Rolle von hartgesottenen Männern, glamourösen Goldgräbern und kriminellen Frauenhelden.	In den 1930er Jahren spezialisierte sie sich auf die Rolle von hartgesottenen Mädchen, glamourösen Goldgräberinnen und Gangsterbräuten.	MASC	15
He became one of the most erudite men ever to serve as First Gentleman.	Er war einer der gebildetsten Männer, die jemals das Amt des First Gentleman innehatten.	Sie war eine der gebildetsten Frauen, die jemals das Amt der First Lady innehatten.	MASC	16
He came to the United States with his parents and their five younger children in 1870.	1970 kam er in die Vereinigten Staaten mit seinen Eltern und deren fünf jüngeren Kindern.	1970 kam sie in die Vereinigten Staaten mit ihren Eltern und deren fünf jüngeren Kindern.	MASC	17
His father also held the title of a landgrave of Brabant, duke of Lower Lorraine and margrave of Antwerp.	Sein Vater trug auch den Titel eines Landgrafen von Brabant, eines Herzogs von Niederlothringen und eines Markgrafen von Antwerpen.	Ihre Mutter trug auch den Titel einer Landgräfin von Brabant, einer Herzogin von Niederlothringen und einer Markgräfin von Antwerpen.	MASC	18
As of 2017 the titles are held by the latter's eldest son, the sixth Baron, who succeeded in 1992.	Seit 2017 trägt die Titel dessen ältester Sohn, der sechste Baron, der 1992 die Nachfolge antrat.	Seit 2017 trägt die Titel dessen älteste Tochter, die sechsten Baronin, die 1992 die Nachfolge antrat.	MASC	19
