SRC	REF	WRONG-REF	GENDER	ID
In 1937 he established the Sir Halley Stewart Trust in memory of his father and served as its first President.	En 1937 estableció el Sir Halley Stewart Trust en memoria de su padre y sirvió como su primer presidente.	En 1937 estableció el Lady Halley Stewart Trust en memoria de su madre y sirvió como su primera presidenta.	MASC	1
Of these lord patron and their establishment, the memoirist Captain Gronow would later write, The most popular amongst these grands monsieurs was unquestionably Lord Cowper, now Lord Palmerston.	De estos patrones y sus acompañantes, el capitán Gronow, su biógrafo, escribió posteriormente: El más popular de estos grands monsieurs fue indudablemente Lord Cowper, ahora Lord Palmerston.	De estas patronas y sus acompañantes, el capitán Gronow, su biógrafo, escribió posteriormente: La más popular de estas grandes dames fue indudablemente Lady Cowper, ahora Lady Palmerston.	MASC	2
His game and film incarnations were simultaneously included among the hottest video game babes by the New Zealand edition of MSN Lifestyle.	Las encarnaciones de este hombre en juegos y películas se incluyeron simultáneamente entre los chicos de videojuegos más populares de la edición de Nueva Zelanda de MSN Lifestyle.	Las encarnaciones de esta mujer en juegos y películas se incluyeron simultáneamente entre las chicas de videojuegos más populares de la edición de Nueva Zelanda de MSN Lifestyle.	MASC	3
Most of the fathers were shamed into looking away, but the bishop Nonnus stared openly and confessed himself delighted.	La mayoría de los padres se avergonzaron y miraron hacia otro lado, pero el obispo Nonnus lo miró fijamente y confesó que estaba encantado.	La mayoría de las madres se avergonzaron y miraron hacia otro lado, pero la obispa Nonnus la miró fijamente y confesó que estaba encantada.	MASC	4
He thinks Machiavelli may have been influenced by Tacitus as well as his own experience, but finds no clear predecessor to substantiate this claim.	Él piensa que Maquiavelo podría haber sido influenciado por Tácito así como por su propia experiencia, pero no encuentra ningún predecesor claro que corrobore esta afirmación.	Ella piensa que Maquiavelo podría haber sido influenciada por Tácito así como por su propia experiencia, pero no encuentra ningún predecesor claro que corrobore esta afirmación.	MASC	5
The priests of Vesta, known as Vestal Virgins, administered his temple and watched the eternal fire.	Los sacerdotes de Vesta, conocidos como Vírgenes Vestales, administraban su templo y vigilaban el fuego eterno.	Las sacerdotisas de Vesta, conocidas como Vírgenes Vestales, administraban su templo y vigilaban el fuego eterno.	MASC	6
His various roles ranged from manservants and ingénues to vamps and kings.	Sus diversos papeles iban desde sirvientes e ingenuos hasta vampiros y reyes.	Sus diversos papeles iban desde sirvientas e ingenuas hasta vampiras y reinas.	MASC	7
Their form master is now Mister Jenks and they no longer have to bear the severeness of the first form master, Mister Roberts – who is extremely sarcastic and firm but can be kind when he feels like to, a bit like Monsieur, the French teacher that used to teach and is still teaching the boys.	Su forma «maestro» es ahora «señor» Jenks y ya no tienen que soportar la severidad de la primera forma «maestro», «señor» Roberts - que es extremadamente sarcástico y firme, pero puede ser amable cuando él se siente como, un poco como Monsieur, el maestro de francés que enseñaba y sigue enseñando a los chicos.	Su forma «señora» es ahora «señorita» Jenks y ya no tienen que soportar la severidad de la primera forma «señora», «señorita» Roberts - que es extremadamente sarcástica y firme, pero puede ser amable cuando ella se siente como, un poco como Mam'zelle, la maestra de francés que enseñaba y sigue enseñando a las chicas.	MASC	8
Insight into how Manning-Sanders believed fairy tales should usually end is given in his foreword to A Book of Witches Now in all these stories, as in fairy tales about witches in general, you may be sure of one thing however terrible the witches may seem – and whatever power they may have to lay spells on people and to work mischief – they are always defeated. ...	En el prólogo de «A Book of Witches Now», Manning-Sanders explica cómo deberían terminar los cuentos de hadas. Ahora bien, en todas estas historias, como en los cuentos de hadas sobre brujos en general, puedes estar seguro de una cosa: por muy terribles que parezcan los brujos (y por mucho poder que tengan para hechizar a la gente y hacer travesuras) siempre son derrotados. ...	En el prólogo de «A Book of Witches Now», Manning-Sanders explica cómo deberían terminar los cuentos de hadas. Ahora bien, en todas estas historias, como en los cuentos de hadas sobre brujas en general, puedes estar seguro de una cosa: por muy terribles que parezcan las brujas (y por mucho poder que tengan para hechizar a la gente y hacer travesuras) siempre son derrotadas. ...	MASC	9
In 1902 it was ruled by the house of Lords, that the joint office holders, the Earl of Ancaster, the Marquess of Cholmondeley and the Earl Carrington have to agree on a deputy to exercise the office, subject to the approval of the Sovereign.	En 1902 se dictaminó por la Cámara de los lores, que los titulares conjuntos del cargo, el conde de Ancaster, el marqués de Cholmondeley y el conde Carrington tienen que ponerse de acuerdo en un sustituto para ejercer el cargo, sujeto a la aprobación del Soberano.	En 1902 se dictaminó por la Cámara de las ladies, que las titulares conjuntas del cargo, la condesa de Ancaster, la marquesa de Cholmondeley y la condesa Carrington tienen que ponerse de acuerdo en una sustituta para ejercer el cargo, sujeta a la aprobación del Soberano.	MASC	10
Coaching and teacher At Sydney's Shore School Uebergang was a rowing master, and coached the 1985 Shore 1st VIII to victory in the schoolboy eight title at that year's Australian Rowing Championships.	Uebergang, que fue entrenador y profesor en la Shore School de Sídney, fue maestro de remo y entrenó al Shore 1st VII de 1985 llevándolo a la victoria y al título de los ocho escolares en el Campeonato de Australia de Remo de ese año.	Uebergang, que fue entrenadora y profesora en la Shore School de Sídney, fue maestra de remo y entrenó al Shore 1st VII de 1985 llevándolo a la victoria y al título de las ocho escolares en el Campeonato de Australia de Remo de ese año.	MASC	11
Quickly regaining his feet, and very annoyed, Johnson immediately dashed straight at Ketchell and threw a single punch, an uppercut, a punch for which he was famous, to Ketchel's jaw, knocking him out.	Johnson se puso rápidamente de pie, y muy molesto, se abalanzó inmediatamente sobre Ketchell y le lanzó un único puñetazo, un gancho, un puñetazo por el que él era famoso, a la mandíbula de Ketchel, que lo dejó fuera de combate.	Johnson se puso rápidamente de pie, y muy molesta, se abalanzó inmediatamente sobre Ketchell y le lanzó un único puñetazo, un gancho, un puñetazo por el que ella era famosa, a la mandíbula de Ketchel, que la dejó fuera de combate.	MASC	12
The master sweep was unable to climb into such small spaces himself and employed climbing boys to go up the chimneys to dislodge the soot.	El maestro deshollinador no podía subir a espacios tan pequeños él solo y contrataba a chicos escaladores para subir a las chimeneas y quitar el hollín.	La maestra deshollinadora no podía subir a espacios tan pequeños ella sola y contrataba a chicas escaladoras para subir a las chimeneas y quitar el hollín.	MASC	13
His father was a decorated soldier (he won the Military Cross), who later became a solicitor and circuit judge.	Su padre fue un soldado condecorado (él ganó la Cruz Militar), que más tarde se convirtió en abogado y juez de circuito.	Su madre fue una soldado condecorada (ella ganó la Cruz Militar), que más tarde se convirtió en abogada y jueza de circuito.	MASC	14
On February 11, 1963, given a choice between being assigned to Africa or Brazil, he was appointed as an auxiliary bishop in the Diocese of Pinheiro in Brazil.	El 11 de febrero de 1963, al ofrecérsele la elección entre ser destinado a África o a Brasil, fue designado obispo auxiliar de la diócesis de Pinheiro en Brasil.	El 11 de febrero de 1963, al ofrecérsele la elección entre ser destinada a África o a Brasil, fue designada obispa auxiliar de la diócesis de Pinheiro en Brasil.	MASC	15
However, the pain of his parents' difficult domestic life and his relatively few childhood friends (Ruark, something of a child prodigy in school, was a loner) are tellingly absent from the narratives.	Sin embargo, el dolor de la difícil vida doméstica de sus padres y sus relativamente pocos amigos de la infancia (Ruark, que era una especie de niño prodigio en la escuela, era un solitario) están ausentes de las narraciones de forma reveladora.	Sin embargo, el dolor de la difícil vida doméstica de sus padres y sus relativamente pocos amigos de la infancia (Ruark, que era una especie de niña prodigio en la escuela, era una solitaria) están ausentes de las narraciones de forma reveladora.	MASC	16
