SRC	REF	WRONG-REF	GENDER	ID
Both there and at Pisa, where he was subsequently governor in 1700, his popularity was so great that on his removal the inhabitants of both cities petitioned for his recall.	Ici et à Pise, où il fut ensuite gouverneur en 1700, sa popularité était si grande que lors de sa destitution, les habitants des deux villes pétitionnèrent pour qu'il revienne à ses fonctions.	Ici et à Pise, où elle fut ensuite gouverneure en 1700, sa popularité était si grande que lors de sa destitution, les habitants des deux villes pétitionnèrent pour qu'elle revienne à ses fonctions.	MASC	1
It makes no difference if the world is offended because I have made Dr Goethe a member of my most important collegium without his having passed through the stages of minor official professor and councillor of state.”	"Cela ne fait aucune différence que le monde soit offensé que j'ai fait du Dr Goethe un membre de mon crucial collegium, sans qu'il soit passé par les étapes de professeur officiel mineur et de conseiller d’État."""	"Cela ne fait aucune différence que le monde soit offensé que j'ai fait du Dr Goethe un membre de mon crucial collegium, sans qu'elle soit passée par les étapes de professeur officiel mineur et de conseiller d’État."""	MASC	2
He worked part-time as an amateur scout for the Ottawa Senators starting in 2006, then was hired full-time in 2008.	Il travailla comme dépisteur amateur à mi-temps pour les Sénateurs d'Ottawa en 2006, et fut engagé à plein temps en 2008.	Elle travailla comme dépisteuse amateure à mi-temps pour les Sénateurs d'Ottawa en 2006, et fut engagée à plein temps en 2008.	MASC	3
The Stroganov chronicle says that On was killed by a chief called Chingi who spared Taibuga, sent him to fight the Ostyaks and granted him his own principality.	La chronique des Stroganoff raconte qu'On fut tué par un chef nommé Chimgi qui épargna Tajbugha, l'envoya se battre contre les Ostiaks et lui accorda sa propre principauté.	La chronique des Stroganoff raconte qu'On fut tué par une cheffe nommée Chimgi qui épargna Tajbugha, l'envoya se battre contre les Ostiaks et lui accorda sa propre principauté.	MASC	4
The new colonel-in-chief took up his appointment at a ceremony on March 17, 2007, at the Regimental Headquarters in Edmonton.	Le nouveau colonel en chef accepta sa nomination à la cérémonie du 17 mars 2007, au quartier général du régiment à Edmonton.	La nouvelle colonelle en chef accepta sa nomination à la cérémonie du 17 mars 2007, au quartier général du régiment à Edmonton.	MASC	5
Dumouriez, who became a military adviser to the Confederates, at the time described him as spontaneous, more proud than ambitious, friend of the prince of Courland, enemy of the Potocki family, brave and honest as well as popular among other commanders.	Dumouriez, qui était devenu conseiller militaire pour les Confédérés, l'a décrit à l'époque comme étant spontané, plus fier qu'ambitieux, ami du prince de Courlande, ennemi de la famille Potocki, courageux et honnête ainsi que populaire auprès des autres commandants.	Dumouriez, qui était devenu conseiller militaire pour les Confédérés, l'a décrite à l'époque comme étant spontanée, plus fière qu'ambitieuse, amie de la princesse de Courlande, ennemie de la famille Potocki, courageuse et honnête ainsi que populaire auprès des autres commandants.	MASC	6
He went on to attain the rank of chief superintendent, serving the Brigade for the rest of his life, eventually being awarded sir of justice of the Order of St John of Jerusalem in 1955.	Il finit par atteindre le rang de surintendant principal, servant la Brigade jusqu'à la fin de ses jours, pour finalement être ordonné chevalier de justice de l'ordre de Saint-Jean de Jérusalem en 1955.	Elle finit par atteindre le rang de surintendante principale, servant la Brigade jusqu'à la fin de ses jours, pour finalement être ordonnée dame de justice de l'ordre de Saint-Jean de Jérusalem en 1955.	MASC	7
As a result, Gideon was educated at a sir school in St. Mary's Lane, and learned basic reading and writing from an old man.	En conséquence, Gideon fut éduqué dans une école pour messieurs à St. Mary's Lane, et apprit les bases de la lecture et de l'écriture grâce à un vieil homme.	En conséquence, Gideon fut éduquée dans une école pour dames à St. Mary's Lane, et apprit les bases de la lecture et de l'écriture grâce à une vieille femme.	MASC	8
The first show had over 600 entries, becoming easily the biggest of its kind so far, with patrons that included the Duke of Newcastle, the Count de Sefton and Lord de Trafford.	La première représentation a fait plus de 600 entrées, faisant facilement d'elle la plus importante de son genre à ce jour, avec des spectateurs tels que le duc de Newcastle, le comte de Sefton et Lord de Trafford.	La première représentation a fait plus de 600 entrées, faisant facilement d'elle la plus importante de son genre à ce jour, avec des spectatrices telles que la duchesse de Newcastle, la comtesse de Sefton et Lady de Trafford.	MASC	9
Upon taking the job, he recognized the long odds of a Hall of Fame player becoming a successful head coach.	En acceptant l'emploi, il reconnut la difficulté qu'aurait un joueur du Hall of Fame à devenir un bon entraîneur.	En acceptant l'emploi, elle reconnut la difficulté qu'aurait une joueuse du Hall of Fame à devenir une bonne entraîneuse.	MASC	10
He was the Provincial leader of Die Voortrekkers, an organization similar to the boy scouts as well as a founding member of the organization and was also Chairman of the Transvaalse Onderwysersvereniging (Transvaal Teacher's Association).	Il était le Dirigeant provincial de Die Voortrekkers, une organisation similaire aux boy scouts et le membre fondateur de l'organisation, ainsi que le président de la Transvaalse Onderwysersvereniging (Association des Enseignants du Transvaal).	Elle était la Dirigeante provinciale de Die Voortrekkers, une organisation similaire aux girl scouts et la membre fondatrice de l'organisation, ainsi que la présidente de la Transvaalse Onderwysersvereniging (Association des Enseignants du Transvaal).	MASC	11
Around 1905 he went to Bolivia as a mining engineer.	Vers 1905, il se rendit en Bolivie en tant qu'ingénieur des mines.	Vers 1905, elle se rendit en Bolivie en tant qu'ingénieure des mines.	MASC	12
His great-great-grandson, the fifth Lord, was an author and economist.	Son arrière-arrière-petit-fils, le cinquième Lord, était un auteur et un économiste.	Son arrière-arrière-petite-fille, la cinquième Lady, était une auteure et une économiste.	MASC	13
The lords imitated the king: they endeavored to have the Jews considered an inalienable dependence of their fiefs, and to establish the usage that if a Jew domiciled in one barony passed into another, the lord of his former domicil should have the right to seize his possessions.	Les seigneurs imitaient le roi : ils s'efforçaient de faire des Juifs une dépendance inaliénable de leurs fiefs et d'établir l'usage selon lequel, si un Juif domicilié au sein d'une baronnie passait à une autre, le seigneur de son ancien domicile devait avoir le droit de saisir ses possessions.	Les seigneuresses imitaient la reine : elles s'efforçaient de faire des Juifs une dépendance inaliénable de leurs fiefs et d'établir l'usage selon lequel, si une Juive domiciliée au sein d'une baronnie passait à une autre, la seigneuresse de son ancien domicile devait avoir le droit de saisir ses possessions.	MASC	14
After Ahok lost the election as was imprisoned for blasphemy, he stated that he had no personal issues with the governor, but declined to visit him in prison, citing that a visit would be misinterpreted.	Après la défaite d'Ahok aux élections et son emprisonnement pour blasphème, il déclara n'avoir aucun grief personnel contre le gouverneur, mais refusa de lui rendre visite en prison, déclarant qu'une visite serait mal interprétée.	Après la défaite d'Ahok aux élections et son emprisonnement pour blasphème, elle déclara n'avoir aucun grief personnel contre la gouverneure, mais refusa de lui rendre visite en prison, déclarant qu'une visite serait mal interprétée.	MASC	15
The next night, Donkey goes inside a windmill to talk to the Prince, only to discover that he becomes an ogre himself after sunset.	Le soir suivant, l'Âne entre dans le moulin pour parler au prince et y découvre que lui aussi se transforme en ogre au coucher du soleil.	Le soir suivant, l'Âne entre dans le moulin pour parler à la princesse et y découvre qu'elle aussi se transforme en ogresse au coucher du soleil.	MASC	16
