SRC	REF	WRONG-REF	GENDER	ID
The priest is generally accompanied by male dancers.	पुजारी आमतौर पर नर्तकों के साथ होता है।	पुजारन आमतौर पर नर्तकियों के साथ होती है।	MASC	1
At home, Mr. Nichols was a member of the Harmonic Society, so the couple was involved in choral music of the English variety.	अपने देश में श्री निकोल्स हार्मोनिक सोसाइटी के सदस्य थे, इसलिए पति-पत्नी अंग्रेजी किस्म के कोरल संगीत में शामिल थे।	अपने देश में श्रीमती निकोल्स हार्मोनिक सोसाइटी की सदस्या थीं, इसलिए पति-पत्नी अंग्रेजी किस्म के कोरल संगीत में शामिल थे।	MASC	2
Three years after his death (1966) he was honored by a monument placed in the Amusement Park of Montjuic.	उनके मृत्यु के तीन साल बाद (1966) मोंटविक के एम्यूज़मेंट पार्क में बनाए स्मारक से उन्हें सम्मानित किया गया।	उनकी मृत्यु के तीन साल बाद (1966) मोंटविक के एम्यूज़मेंट पार्क में बनाए स्मारक से उन्हें सम्मानित किया गया।	MASC	3
He spoke on behalf of the Federale Raad van Suid Afrikaanse Onderwysersverenigings (Federal Board of South African Teachers’ Associations) of which he was a delegate.	उन्होंने फ़ेडरल राड वैन सुइड अफ़्रीकंस ओन्डरवाइसर्सवेरेनिगिंग (दक्षिण अफ़्रीकी शिक्षक संघों के संघीय बोर्ड) की ओर से बात की जिसके वे एक प्रतिनिधि थे।	उन्होंने फ़ेडरल राड वैन सुइड अफ्रीकांस ओन्डरवाइसर्सवेरेनिगिंग (दक्षिण अफ़्रीकी शिक्षक संघों के संघीय बोर्ड) की ओर से बात की जिसकी वे एक प्रतिनिधि थीं।	MASC	4
The two teenagers, too young to become Red Cross nurses like their father and elder brothers, played games of checkers and billiards with the soldiers and tried to lift their spirits.	वे दो किशोर, जो अपने पिता और बड़े भाइयों की तरह रेड क्रॉस नर्स बनने के लिए बहुत छोटे थे, सैनिकों के साथ चेकर्स और बिलियर्ड्स का खेल खेला करते और उन्हें खुश करने की कोशिश करते थे।	वे दो किशोरियां, जो अपनी मां और बड़ी बहनों की तरह रेड क्रॉस नर्स बनने के लिए बहुत छोटी थीं, सैनिकों के साथ चेकर्स और बिलियर्ड्स का खेल खेला करती और उन्हें खुश करने की कोशिश करती थीं।	MASC	5
The Confucian concept of moral transformation, a process where a small person can transcend himself into a gentlemen and to a sage, rests on the principle that we are able to know our motives and will that allow for such transformation.	नैतिक परिवर्तन की कन्फ्यूशियस की अवधारणा एक ऐसी प्रक्रिया जिसमें एक छोटा व्यक्ति एक सज्जन और श्रृषि के रूप में स्वयं को पार कर सकता है, इस सिद्धांत पर टिकी हुई है कि हमें अपने इरादे पता होते हैं और इसी कारण ऐसे बदलाव की संभावना बनती है।	नैतिक परिवर्तन की कन्फ्यूशियस की अवधारणा एक ऐसी प्रक्रिया जिसमें एक छोटी औरत एक भद्र महिला और श्रृषि के रूप में स्वयं को पार ले जा सकती है, इस सिद्धांत पर टिकी हुई है कि हमें अपने इरादे पता होते हैं और इसी कारण ऐसे बदलाव की संभावना बनती है।	MASC	6
From 1984, he was a president of the board of Tipstjänst and Operakällaren; he was also chairman and president of AIK between 1967 and 1980.	1984 से, वह टिप्सजांस्ट और ओपराकलारेन के बोर्ड के अध्यक्ष थे, वह 1967 और 1980 के बीच एआईके के अध्यक्ष और चेयरमैन भी रहे|	1984 से, वह टिप्सजांस्ट और ओपराकलारेन के बोर्ड की अध्यक्षा थीं, वह 1967 और 1980 के बीच एआईके की अध्यक्षा और चेयरवुमन भी रहीं।	MASC	7
He wandered with Kellner from place to place, proclaiming his mission, working miracles, persuading his converts to sell all and follow him.	वह केल्नर के साथ जगह-जगह भटकते रहे, अपने मिशन की घोषणा करते रहे, चमत्कार करते रहे, अपने धर्मान्तरित लोगों को सब कुछ बेचने और उसका अनुसरण करने के लिए राजी करते रहे।	वह केल्नर के साथ जगह-जगह भटकती रहीं, अपने मिशन की घोषणा करती रहीं, चमत्कार करती रहीं, अपने धर्मान्तरित लोगों को सब कुछ बेचने और उसका अनुसरण करने के लिए राजी करती रहीं।	MASC	8
The seventh Earl was a politician and served as Lord Chamberlain of the Household for many years.	सातवें अर्ल राजनीतीज्ञ थे और उन्होंने अनेक वर्षों तक लॉर्ड चैम्बरलेन ऑफ़ द हाउसहोल्ड का पदभार संभाला।	सातवीं काउंटेस राजनीतीज्ञ थीं और उन्होंने अनेक वर्षों तक लेडी चैम्बरलेन ऑफ़ द हाउसहोल्ड का पदभार संभाला।	MASC	9
He also edited Laughing, Not Laughing: Women Writing on 'My Experience of Sex', an anthology of Welsh men writing frankly about their sexual experiences, which won the publications category of the 2004 Erotic Awards.	उन्होंने लाफिंग,नॉट लाफिंग:वीमेन रायटिंग ऑन 'माय एक्सपीरियन्स ऑफ़ सेक्स', वेल्श पुरुषों का अपने काम अनुभवों के बारे में बिना हिचकिचाहट लिखे गए लेखों के संकलन का भी संपादन किया, जो 2004 एरोटिक अवार्ड्स में प्रकाशनों की श्रेणी में जीत गया।	उन्होंने लाफिंग,नॉट लाफिंग:वीमेन रायटिंग ऑन 'माय एक्सपीरियन्स ऑफ़ सेक्स', वेल्श महिलाओं का अपने काम अनुभवों के बारे में बिना हिचकिचाहट लिखे गए लेखों के संकलन का भी संपादन किया, जो 2004 एरोटिक अवार्ड्स में प्रकाशनों की श्रेणी में जीत गया।	MASC	10
Later he became a sub-editor and Chief sub-editor in the BBC Radio Newsroom and then worked on the Radio 4 programme Today in Parliament.	बाद में वह बीबीसी रेडियो न्यूज़रूम में उप-संपादक और मुख्य उप-संपादक बने और फिर उन्होंने रेडियो 4 के कार्यक्रम टुडे इन पार्लियामेंट में काम किया।	बाद में वह बीबीसी रेडियो न्यूज़रूम में उप-संपादिका और मुख्य उप-संपादिका बनीं और फिर उन्होंने रेडियो 4 के कार्यक्रम टुडे इन पार्लियामेंट में काम किया।	MASC	11
Following his time in the Navy he resumed his education and began his career as a fine art photographer and educator.	नौसेना में समय बिताने के बाद, उन्होंने अपनी शिक्षा फिर से शुरू की और एक ललित कला फ़ोटोग्राफ़र और शिक्षक के रूप में अपना करियर शुरू किया।	नौसेना में समय बिताने के बाद, उन्होंने अपनी शिक्षा फिर से शुरू की और एक ललित कला फ़ोटोग्राफ़र और शिक्षिका के रूप में अपना करियर शुरू किया।	MASC	12
The author criticizes his grandfather as a distant, gun-toting, larger-than-life figure who cast a veil of pain and secrecy over his family so vast that Mr. Vilar is still untangling himself from it.	लेखक अपने दादा को दूरस्थ, बंदूकधारी, जीवन से बड़ी आकृति कहकर आलोचना करता है जिन्होंने अपने परिवार पर इतना बड़ा दर्द और गुप्तता का साया डाला कि श्रीमान विलार अभी भी खुद को उसमें से बाहर निकालने की कोशिश कर रहे है।	लेखिका अपनी दादी को दूरस्थ, बंदूकधारी, जीवन से बड़ी आकृति कहकर आलोचना करती है जिन्होंने अपने परिवार पर इतना बड़ा दर्द और गुप्तता का साया डाला कि श्रीमती विलार अभी भी खुद को उसमें से बाहर निकालने की कोशिश कर रही है।	MASC	13
Contents 1 Plot 2 Cast 3 See also 4 References 5 External links Plot A circumspect American teenager from Minneapolis joins his mysterious father in Ecuador, where they embark on a treasure hunt for Incan gold.	सामग्री 1 कथावस्तु 2 अभिनेतावृन्द 3; यह भी देखें 4 संदर्भ 5 बाहरी कड़ियाँ; कथावस्तु: मिनियापोलिस का एक चौकस अमेरिकी किशोर इक्वाडोर में अपने रहस्यमय पिता से मिलता है, जहां वे इंकान सोने के खजाने की खोज शुरू करते हैं।	सामग्री 1 कथावस्तु 2 अभिनेतावृन्द 3; यह भी देखें 4 संदर्भ 5 बाहरी कड़ियाँ; कथावस्तु: मिनियापोलिस की एक चौकस अमेरिकी किशोरी इक्वाडोर में अपनी रहस्यमय माँ से मिलती है, जहां वे इंकान सोने के खजाने की खोज शुरू करते हैं।	MASC	14
The peerages were inherited by the late Baron's first cousin, the seventh Baron.	स्वर्गीय बैरन के कज़न, सातवें बैरन को पियरेज विरासत में मिली|	स्वर्गीय बैरनेस की कज़न, सातवीं बैरनेस को पियरेज विरासत में मिली|	MASC	15
In 2015, the organization criticized a Campbell's ad that depicted two dads taking care of their child by feeding him Campbell's Star Wars soup.	2015 में, संगठन ने कैंपबेल के एक विज्ञापन की आलोचना की, जिसमें दिखाया गया था कि दो पिता अपने बच्चे की देखभाल करते हुए उसे कैंपबेल का स्टार वार्स सूप खिला रहे हैं।	2015 में, संगठन ने कैंपबेल के एक विज्ञापन की आलोचना की, जिसमें दिखाया गया था कि दो माताएं अपनी बच्ची की देखभाल करते हुए उसे कैंपबेल का स्टार वार्स सूप खिला रही हैं।	MASC	16
His marriage was arranged by his stepfather, who was then living at the Court of Monferrato.	उनका विवाह उनके सौतेले पिता ने तय किया था, जो तब मोनफेरातो के राजसभा में रह रहे थे।	उनका विवाह उनकी सौतेली माँ ने तय किया था, जो तब मोनफेरातो के राजसभा में रह रही थी।	MASC	17
In 1895, he made a trip to the Mediterranean and the Orient as chaperon to a party of five young gentlemen, and spoke on temperance in the many countries visited.	1895 में उसने पांच युवा पुरुषों के संरक्षक के रूप में भूमध्य और पूरबी प्रदेशों की यात्रा की, और जो अनेक देशों में वह गया वहां उसने आत्मसंयम पर भाषण दिया।	1895 में उसने पांच युवा महिलाओं की संरक्षिका के रूप में भूमध्य और पूरबी प्रदेशों की यात्रा की, और जो अनेक देशों में वह गई वहां उसने आत्मसंयम पर भाषण दिया।	MASC	18
The former chairman of the Hampton men's committee—which raises money for various projects at Hampton—also criticized the decision.	हैम्पटन में विभिन्न परियोजनाओं के लिए धन जुटाने वाली हैम्पटन पुरुष समिति के पूर्व अध्यक्ष ने भी इस निर्णय की आलोचना की।	हैम्पटन में विभिन्न परियोजनाओं के लिए धन जुटाने वाली हैम्पटन महिला समिति की पूर्व अध्यक्षा ने भी इस निर्णय की आलोचना की।	MASC	19
He gives way to ungovernable passion and becomes pregnant.	वह अनियंत्रित भावनाओं की चपेट में आ जाता है और गर्भवती हो जाता है।	वह अनियंत्रित भावनाओं की चपेट में आ जाती है और गर्भवती हो जाती है।	MASC	20
