SRC	REF	WRONG-REF	GENDER	ID
It is only appropriate that this particular Shah be so immortalized in this style, as it was under his rule as the second Qajar shah that the style truly flourished.	Вполне уместно, чтобы память об этом шахе была увековечена в этом стиле, ведь именно при его правлении как второго шаха Каджар этот стиль процветал.	Вполне уместно, чтобы память об этой шахбану была увековечена в этом стиле, ведь именно при ее правлении как второй шахбану Каджар этот стиль процветал.	MASC	1
Then, in the forefront of Lieutenant General Baron Saken, Melissino participated in the battles of the Gornostaevichi and Vawkavysk.	Затем, в составе авангарда генерал-лейтенанта барона Сакена, Мелиссино участвовал в сражениях при Горностаевичах и Вавкавыске.	Затем, в составе авангарда генерал-лейтенанта баронессы Сакен, Мелиссино участвовал в сражениях при Горностаевичах и Вавкавыске.	MASC	2
The second count never returned to Spain; he died in the port of Cartagena, Colombia during the return voyage.	Второй граф так и не вернулся в Испанию; он умер в порту Картахена, Колумбия, когда возвращался обратно.	Вторая графиня так и не вернулась в Испанию; она умерла в порту Картахена, Колумбия, когда возвращалась обратно.	MASC	3
As one of the most influential members of the council of finance, he had planned many reforms in that department.	Будучи одним из самых влиятельных членов финансового совета, он спланировал множество реформ в этом департаменте.	Будучи одной из самых влиятельных членов финансового совета, она спланировала множество реформ в этом департаменте.	MASC	4
Their form master is now Mister Jenks and they no longer have to bear the severeness of the first form master, Mister Roberts – who is extremely sarcastic and firm but can be kind when he feels like to, a bit like Monsieur, the French teacher that used to teach and is still teaching the boys.	Их классным руководителем теперь стал мистер Дженкс, и им больше не придется терпеть строгость первого классного руководителя, мистера Робертса — чрезвычайно язвительного и строгого, но доброго, когда ему захочется, немного похожего на монсеньора, учителя французского языка, который преподавал и продолжает преподавать мальчикам.	Их классной руководительницей теперь стала мисс Дженкс, и им больше не придется терпеть строгость первой классной руководительницы, мисс Робертс — чрезвычайно язвительной и строгой, но доброй, когда ей захочется, немного похожей на мамзель, учительницу французского языка, которая преподавала и продолжает преподавать девочкам.	MASC	5
He believes that music and performing is all about competition and separates himself from the boys of R3, deciding to be a solo artist instead.	Он считает, что в музыке и выступлениях главное — конкуренция, и поэтому решил уйти от парней из R3, и стать сольным исполнителем.	Она считает, что в музыке и выступлениях главное — конкуренция, и поэтому решила уйти от девушек из R3, и стать сольной исполнительницей.	MASC	6
He works as a teacher now, but, apparently, as of Thief of Time, he still is duke of Sto Helit.	В настоящее время он работает учителем, но, по всей видимости, на момент «Вора времени» он все еще остается герцогом Сто Хелит.	В настоящее время она работает учительницей, но, по всей видимости, на момент «Вора времени» она все еще остается герцогиней Сто Хелит.	MASC	7
Dumouriez, who became a military adviser to the Confederates, at the time described him as spontaneous, more proud than ambitious, friend of the prince of Courland, enemy of the Potocki family, brave and honest as well as popular among other commanders.	Дюмурье, ставший военным советником конфедератов, в то время описал его как спонтанного, скорее гордого, чем амбициозного, друга принца Курляндии, врага семьи Потоцких, храброго и честного, а также популярного среди других командиров.	Дюмурье, ставший военным советником конфедератов, в то время описал ее как спонтанную, скорее гордую, чем амбициозную, подругу принцессы Курляндии, врага семьи Потоцких, храбрую и честную, а также популярную среди других командиров.	MASC	8
Rejecting his vapid debutante circle, he trains in martial arts and adopts the persona of a costumed detective.	Отказавшись от своего скучного круга дебютантов, он берет уроки боевых искусств и принимает образ переодетого детектива.	Отказавшись от своего скучного круга дебютанток, она берет уроки боевых искусств и принимает образ переодетого детектива.	MASC	9
Entering the straight he was still six lengths clear of his rivals and showed no signs of weakening.	На прямой он все еще опережал своих соперников на шесть лошадей и не собирался останавливаться.	На прямой она все еще опережала своих соперниц на шесть лошадей и не собиралась останавливаться.	MASC	10
Stokou is a single dad by choice and a very vocal advocate for men and gay people's rights to reproductive technology.	Стоку — отец-одиночка по собственному выбору и очень ярый защитник прав мужчин и геев на использование репродуктивных технологий.	Стоку — мать-одиночка по собственному выбору и очень ярая защитница прав женщин и геев на использование репродуктивных технологий.	MASC	11
]'; in Brittany's customary law only the youngest brother) was specifically used for the royal princes holding an appanage.	]'; в обычном праве Бретани только младший брат) использовался специально для королевских принцев, владеющих уделом.	]'; в обычном праве Бретани только младшая сестра) использовалась специально для королевских принцесс, владеющих уделом.	MASC	12
Lord Luck is the alter-ego of Brenda Banks, a young Irish-American socialite heir, son of a mine-owner.	Лорд Удача – это альтер-эго Брендона Бэнкса, молодого ирландско-американского светского наследника, сына владельца шахт.	Леди Удача – это альтер-эго Бренды Бэнкс, молодой ирландско-американской светской наследницы, дочери владельца шахт.	MASC	13
He was the Provincial leader of Die Voortrekkers, an organization similar to the boy scouts as well as a founding member of the organization and was also Chairman of the Transvaalse Onderwysersvereniging (Transvaal Teacher's Association).	Он был региональным руководителем организации Die Voortrekkers, аналогичной бойскаутам, и одним из основателей этой организации, а также председателем Transvaalse Onderwysersvereniging (Ассоциации учителей Трансвааля).	Она была региональным руководителем организации Die Voortrekkers, аналогичной бойскаутам, и одной из основательниц этой организации, а также председателем Transvaalse Onderwysersvereniging (Ассоциации учителей Трансвааля).	MASC	14
Treason Once again Camocke considered joining the Russian Navy but he instead became a rear admiral in the Spanish Navy three years later.	Очередная измена. Камоке рассматривал возможность вступления в русский флот, но вместо этого через три года он стал контр-адмиралом в испанском флоте.	Очередная измена. Камоке рассматривала возможность вступления в русский флот, но вместо этого через три года она стала контр-адмиралом в испанском флоте.	MASC	15
He then became general counsel to the five-hundred member firm group the Information Industry Association, and served as chairman of the New England Corporate Counsel Association (an industry group for northeastern in-house counsel that he cofounded).	Затем он стал главным юрисконсультом группы компаний из пятисот членов Ассоциации информационной индустрии и занимал должность председателя Ассоциации корпоративных юристов Новой Англии (отраслевая группа для корпоративных юристов северо-востока, одним из основателей которой он был).	Затем она стала главной юрисконсультом группы компаний из пятисот членов Ассоциации информационной индустрии и занимала должность председателя Ассоциации корпоративных юристов Новой Англии (отраслевая группа для корпоративных юристов северо-востока, одной из основателей которой она была).	MASC	16
In the late 1990s, after his success at the 1998 Winter Olympics, Street became a spokesman for a variety of products, including the soft drink Mountain Dew and ChapStick-brand lip balm.	В конце 1990-х годов, после своего успеха на зимних Олимпийских играх 1998 года, Стрит стал представителем различных товаров, включая безалкогольный напиток Mountain Dew и бальзам для губ марки ChapStick.	В конце 1990-х годов, после своего успеха на зимних Олимпийских играх 1998 года, Стрит стала представительницей различных товаров, включая безалкогольный напиток Mountain Dew и бальзам для губ марки ChapStick.	MASC	17
Also in 2014, Heit was working with civic groups to help unwed fathers and he was counseling adopted children.	Также в 2014 году Хайт сотрудничал с общественными организациями, помогая неженатым отцам, и он оказывал консультативную помощь приемным детям.	Также в 2014 году Хайт сотрудничала с общественными организациями, помогая незамужним матерям, и она оказывала консультативную помощь приемным детям.	MASC	18
Despite air raids, a submarine attack, and casualties among sister ships, he commenced off-loading supplies on D-Day, 8 November, at Fedhala, French Morocco.	Несмотря на авианалеты, атаку подлодки и потерю однотипных кораблей, 8 ноября, в День высадки союзных войскв, он начал разгрузку припасов в Федхале, Марокко (Франция).	Несмотря на авианалеты, атаку подлодки и потерю однотипных кораблей, 8 ноября, в День высадки союзных войскв, она начала разгрузку припасов в Федхале, Марокко (Франция).	MASC	19
Akoray cooperated with the Mughals to safeguard the trunk route and was generously rewarded for his assistance.	Акорай сотрудничал с Моголами, защищая основной путь, и был щедро за это вознагражден.	Акорай сотрудничала с Моголами, защищая основной путь, и была щедро за это вознаграждена.	MASC	20
Van Eyken admitted to the murders and explicitly insisted that he be locked up.	Ван Эйкен признался в убийствах и открыто настаивал на том, чтобы его посадили в тюрьму.	Ван Эйкен призналась в убийствах и открыто настаивала на том, чтобы ее посадили в тюрьму.	MASC	21
He was then apprenticed as an electrical engineer at King & Co on Prince Regent Street in Leith.	Затем он устроился учеником инженера-электрика в компанию King & Co на Принс-Риджент-стрит в Лейте.	Затем она устроилась ученицей инженера-электрика в компанию King & Co на Принс-Риджент-стрит в Лейте.	MASC	22
At Diputación Zubiaur was responsible for culture and education; he took advantage of his position to promote Traditionalism and worked to turn Institución Príncipe de Viana, a provincial cultural and educational centre, into a Carlist outpost.	В Diputación Зубиаур отвечал за культуру и образование; он воспользовался своим положением для продвижения идей традиционализма и работал над превращением Institución Príncipe de Viana, провинциального культурного и образовательного центра, в опорный пункт карлистов.	В Diputación Зубиаур отвечала за культуру и образование; она воспользовалась своим положением для продвижения идей традиционализма и работала над превращением Institución Príncipe de Viana, провинциального культурного и образовательного центра, в опорный пункт карлистов.	MASC	23
In December 2001, while serving as vice-chairman for the Smer-SD party, Flasikova-Benova was formally charged with fraud and embezzlement for allegedly failing to provide former clients Radio Koliba with SK 1.35 million in goods and services he had received money for.	В декабре 2001 года вице-председателя партии Smer-SD Фласикова-Бенова официально обвинили в мошенничестве и хищениях за то, что он якобы не предоставил бывшим клиентам «Радио Колиба» товары и услуги на сумму 1,35 миллиона словацких крон, за которые он получил деньги.	В декабре 2001 года вице-председателя партии Smer-SD Фласикову-Бенову официально обвинили в мошенничестве и хищениях за то, что она якобы не предоставила бывшим клиентам «Радио Колиба» товары и услуги на сумму 1,35 миллиона словацких крон, за которые она получила деньги.	MASC	24
The new colonel-in-chief took up his appointment at a ceremony on March 17, 2007, at the Regimental Headquarters in Edmonton.	Новый полковник вступил в должность 17 марта 2007 года на торжественной церемонии в штабе полка в Эдмонтоне.	Новый полковник вступила в должность 17 марта 2007 года на торжественной церемонии в штабе полка в Эдмонтоне.	MASC	25
He was not considered an intellectual but attended scholarly lectures and read many books.	Его не считали интеллектуалом, но он посещал лекции по науке и читал много книг.	Ее не считали интеллектуалкой, но она посещала лекции по науке и читала много книг.	MASC	26
